"match_id","sample","view","stage","round","home_team","away_team","observed_outcome","predicted_outcome","confidence","target","metric","value"
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"over_2_5","over_2_5_brier",0.24235929
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"over_2_5","over_2_5_log_loss",0.677864557028788
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"btts","btts_brier",0.22543504
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"btts","btts_log_loss",0.643976136553496
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"scoreline","joint_scoreline_log_loss",
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"scoreline","home_goal_rps",
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"scoreline","away_goal_rps",
"GA06","strict","first_valid","group","Group A","South Africa","Korea Republic","home","away",0.5028,"scoreline","exact_score_hit",
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"regulation_1x2","rps",0.105369824352645
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"regulation_1x2","brier",0.258911857990683
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"regulation_1x2","log_loss",0.536545477207715
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"regulation_1x2","accuracy",1
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"goals","home_xg_absolute_error",2.08278228091319
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"goals","away_xg_absolute_error",0.079340112027856
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"goals","total_xg_squared_error",4.67477324205711
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"over_2_5","over_2_5_brier",0.234192852697365
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"over_2_5","over_2_5_log_loss",0.661522088907953
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"btts","btts_brier",0.288694438393812
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"btts","btts_log_loss",0.770682715098331
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"scoreline","joint_scoreline_log_loss",
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"scoreline","home_goal_rps",
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"scoreline","away_goal_rps",
"GB03","strict","first_valid","group","Group B","Switzerland","Bosnia and Herzegovina","home","home",0.584764850680926,"scoreline","exact_score_hit",
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"regulation_1x2","rps",0.09914005
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"regulation_1x2","brier",0.24484974
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"regulation_1x2","log_loss",0.517011382853077
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"regulation_1x2","accuracy",1
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"goals","home_xg_absolute_error",4.0409
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"goals","away_xg_absolute_error",0.9041
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"goals","total_xg_squared_error",9.83951424
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"over_2_5","over_2_5_brier",0.22924944
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"over_2_5","over_2_5_log_loss",0.651621433731447
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"btts","btts_brier",0.21261321
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"btts","btts_log_loss",0.618225254042686
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"scoreline","joint_scoreline_log_loss",
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"scoreline","home_goal_rps",
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"scoreline","away_goal_rps",
"GB04","strict","first_valid","group","Group B","Canada","Qatar","home","home",0.5963,"scoreline","exact_score_hit",
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"regulation_1x2","rps",0.25477938
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"regulation_1x2","brier",0.57336552
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"regulation_1x2","log_loss",0.954511944694353
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"regulation_1x2","accuracy",1
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"goals","home_xg_absolute_error",0.6491
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"goals","away_xg_absolute_error",0.3076
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"goals","total_xg_squared_error",0.11662225
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"over_2_5","over_2_5_brier",0.27196225
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"over_2_5","over_2_5_log_loss",0.737099068089128
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"btts","btts_brier",0.266256
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"btts","btts_log_loss",0.725670372265505
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"scoreline","joint_scoreline_log_loss",
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"scoreline","home_goal_rps",
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"scoreline","away_goal_rps",
"GB05","strict","first_valid","group","Group B","Switzerland","Canada","home","home",0.385,"scoreline","exact_score_hit",
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"regulation_1x2","rps",0.244229225
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"regulation_1x2","brier",0.55201286
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"regulation_1x2","log_loss",0.926088574354266
