"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"exploratory","first_valid","goals","away_xg_absolute_error","confidence","medium",38,104,0.365384615384615,0.933893519485016,0.715433951789597,1.18305495804836
"exploratory","first_valid","goals","away_xg_absolute_error","outcome_class","away",26,104,0.25,1.03240144557396,0.761980547067687,1.32861224407951
"exploratory","first_valid","goals","away_xg_absolute_error","outcome_class","draw",15,104,0.144230769230769,0.846924293953322,0.561150226871411,1.13392234783503
"exploratory","first_valid","goals","away_xg_absolute_error","outcome_class","home",38,104,0.365384615384615,0.75363137271581,0.606529306439154,0.897052127484571
"exploratory","first_valid","goals","away_xg_absolute_error","overall","all",79,104,0.759615384615385,0.863092331106628,0.729932317576677,0.998796503256047
"exploratory","first_valid","goals","away_xg_absolute_error","stage","group",49,52,0.942307692307692,0.889396734693877,0.709864467687075,1.07801950170068
"exploratory","first_valid","goals","away_xg_absolute_error","stage","knockout",30,31,0.967741935483871,0.820128471914121,0.630236438600385,1.014126415876
"exploratory","first_valid","goals","home_xg_absolute_error","confidence","high",17,104,0.163461538461538,1.01150802314591,0.748995444837825,1.30576737790834
"exploratory","first_valid","goals","home_xg_absolute_error","confidence","low",24,104,0.230769230769231,0.884474112540933,0.660743011287875,1.09877174537427
"exploratory","first_valid","goals","home_xg_absolute_error","confidence","medium",38,104,0.365384615384615,0.925191814426406,0.63316885331803,1.24533337981481
"exploratory","first_valid","goals","home_xg_absolute_error","outcome_class","away",26,104,0.25,0.61408075858862,0.441450386465991,0.787156833948297
"exploratory","first_valid","goals","home_xg_absolute_error","outcome_class","draw",15,104,0.144230769230769,1.0550444282312,0.733316556720032,1.38392671119359
"exploratory","first_valid","goals","home_xg_absolute_error","outcome_class","home",38,104,0.365384615384615,1.09969836568143,0.812193339415659,1.41629035681352
"exploratory","first_valid","goals","home_xg_absolute_error","overall","all",79,104,0.759615384615385,0.931396253704637,0.760542807136851,1.11022173220106
"exploratory","first_valid","goals","home_xg_absolute_error","stage","group",49,52,0.942307692307692,1.10577367346939,0.863302382653061,1.37657772789116
"exploratory","first_valid","goals","home_xg_absolute_error","stage","knockout",30,31,0.967741935483871,0.64657980142221,0.506869903557576,0.792498853828723
"exploratory","first_valid","goals","total_xg_squared_error","confidence","high",17,104,0.163461538461538,2.75088183973034,1.31037451653264,4.4877048131913
"exploratory","first_valid","goals","total_xg_squared_error","confidence","low",24,104,0.230769230769231,2.71485363738829,1.61151620257531,4.02631541022149
