"match_id","stage","round","kickoff_utc","home_team","away_team","strict","exploratory","status"
"GK01","group","Group K","2026-06-17T17:00Z","Portugal","DR Congo",TRUE,FALSE,"verified"
"GK02","group","Group K","2026-06-18T02:00Z","Uzbekistan","Colombia",TRUE,TRUE,"verified"
"GK03","group","Group K","2026-06-23T17:00Z","Portugal","Uzbekistan",TRUE,TRUE,"verified"
"GK04","group","Group K","2026-06-24T02:00Z","Colombia","DR Congo",TRUE,TRUE,"verified"
"GK05","group","Group K","2026-06-27T23:30Z","Colombia","Portugal",TRUE,TRUE,"verified"
"GK06","group","Group K","2026-06-27T23:30Z","DR Congo","Uzbekistan",TRUE,TRUE,"verified"
"GL01","group","Group L","2026-06-17T23:00Z","Ghana","Panama",TRUE,FALSE,"verified"
"GL02","group","Group L","2026-06-17T20:00Z","England","Croatia",TRUE,FALSE,"verified"
"GL03","group","Group L","2026-06-23T20:00Z","England","Ghana",TRUE,TRUE,"verified"
"GL04","group","Group L","2026-06-23T23:00Z","Panama","Croatia",TRUE,TRUE,"verified"
"GL05","group","Group L","2026-06-27T21:00Z","Panama","England",TRUE,TRUE,"verified"
"GL06","group","Group L","2026-06-27T21:00Z","Croatia","Ghana",TRUE,TRUE,"verified"
"M100","knockout","Quarter-finals","2026-07-12T01:00Z","Argentina","Switzerland",TRUE,TRUE,"verified"
"M101","knockout","Semi-finals","2026-07-14T19:00Z","France","Spain",TRUE,FALSE,"verified"
"M102","knockout","Semi-finals","2026-07-15T19:00Z","England","Argentina",TRUE,TRUE,"verified"
"M103","knockout","Third-place play-off","2026-07-18T21:00Z","France","England",FALSE,FALSE,"missing_or_rejected"
"M104","knockout","Final","2026-07-19T19:00Z","Spain","Argentina",TRUE,TRUE,"verified"
"M73","knockout","Round of 32","2026-06-28T19:00Z","South Africa","Canada",TRUE,TRUE,"verified"
"M74","knockout","Round of 32","2026-06-29T20:30Z","Germany","Paraguay",TRUE,TRUE,"verified"
"M75","knockout","Round of 32","2026-06-30T01:00Z","Netherlands","Morocco",TRUE,TRUE,"verified"
"M76","knockout","Round of 32","2026-06-29T17:00Z","Brazil","Japan",TRUE,TRUE,"verified"
"M77","knockout","Round of 32","2026-06-30T21:00Z","France","Sweden",TRUE,TRUE,"verified"
"M78","knockout","Round of 32","2026-06-30T17:00Z","Ivory Coast","Norway",TRUE,TRUE,"verified"
"M79","knockout","Round of 32","2026-07-01T02:00Z","Mexico","Ecuador",TRUE,TRUE,"verified"
"M80","knockout","Round of 32","2026-07-01T16:00Z","England","DR Congo",TRUE,TRUE,"verified"
"M81","knockout","Round of 32","2026-07-02T00:00Z","United States","Bosnia and Herzegovina",TRUE,TRUE,"verified"
"M82","knockout","Round of 32","2026-07-01T20:00Z","Belgium","Senegal",TRUE,TRUE,"verified"
"M83","knockout","Round of 32","2026-07-02T23:00Z","Portugal","Croatia",TRUE,TRUE,"verified"
"M84","knockout","Round of 32","2026-07-02T19:00Z","Spain","Austria",TRUE,TRUE,"verified"
"M85","knockout","Round of 32","2026-07-03T03:00Z","Switzerland","Algeria",TRUE,TRUE,"verified"
"M86","knockout","Round of 32","2026-07-03T22:00Z","Argentina","Cape Verde",TRUE,TRUE,"verified"
"M87","knockout","Round of 32","2026-07-04T01:30Z","Colombia","Ghana",TRUE,TRUE,"verified"
"M88","knockout","Round of 32","2026-07-03T18:00Z","Australia","Egypt",TRUE,TRUE,"verified"
"M89","knockout","Round of 16","2026-07-04T21:00Z","Paraguay","France",TRUE,TRUE,"verified"
"M90","knockout","Round of 16","2026-07-04T17:00Z","Canada","Morocco",TRUE,TRUE,"verified"
"M91","knockout","Round of 16","2026-07-05T20:00Z","Brazil","Norway",TRUE,TRUE,"verified"
"M92","knockout","Round of 16","2026-07-06T01:00Z","Mexico","England",TRUE,TRUE,"verified"
"M93","knockout","Round of 16","2026-07-06T19:00Z","Portugal","Spain",TRUE,TRUE,"verified"
"M94","knockout","Round of 16","2026-07-07T00:00Z","United States","Belgium",TRUE,TRUE,"verified"
"M95","knockout","Round of 16","2026-07-07T16:00Z","Argentina","Egypt",TRUE,TRUE,"verified"
"M96","knockout","Round of 16","2026-07-07T20:00Z","Switzerland","Colombia",TRUE,TRUE,"verified"
"M97","knockout","Quarter-finals","2026-07-09T20:00Z","France","Morocco",TRUE,TRUE,"verified"
"M98","knockout","Quarter-finals","2026-07-10T19:00Z","Spain","Belgium",TRUE,TRUE,"verified"
"M99","knockout","Quarter-finals","2026-07-11T21:00Z","Norway","England",TRUE,TRUE,"verified"
