date,home_team,away_team,home_score,away_score,elor_home_pre,elor_away_pre,xgelo_home_pre,xgelo_away_pre,eloratings_neutral,xgelo_neutral,outcome
2026-06-16,Argentina,Algeria,3,0,2128.0,1762.0,1550.31225545722,1326.99603533782,0.8915686668733666,0.7833864948522086,1.0
2026-06-16,Austria,Jordan,3,1,1853.0,1655.0,1315.78994015388,1174.7874976605,0.7576391748622517,0.6924663867846865,1.0
2026-06-10,Algeria,Bolivia,4,0,1769.0,1622.0,1323.93070065598,1095.32114438095,0.6997694032620582,0.7885125044874294,1.0
2026-06-03,Netherlands,Algeria,0,1,1944.0,1758.0,1393.33010834425,1311.20764048059,0.7447304068650347,0.6160308720280326,0.0
2026-06-01,Austria,Tunisia,1,0,1830.0,1634.0,1304.98508705563,1215.96763519661,0.7555188820711969,0.6253749297146558,1.0
2026-03-31,Algeria,Uruguay,0,0,1743.0,1894.0,1308.18429527713,1359.37168754278,0.29541540733727906,0.4268638186087078,0.5
2026-03-31,Austria,Korea Republic,1,0,1827.0,1753.0,1287.89872143591,1298.15870176885,0.6049129020079569,0.4852389919543043,1.0
2026-03-27,Algeria,Guatemala,7,0,1736.0,1515.0,1303.80088182662,1086.42883406716,0.7811154027299616,0.7775237943066575,1.0
2026-03-27,Austria,Ghana,5,1,1821.0,1507.0,1286.34694038329,1095.72644890104,0.8590630023766738,0.7497538192422489,1.0
