"match_id","round","slot1_label","slot1_team","slot1_display","slot1_source_match_id","slot2_label","slot2_team","slot2_display","slot2_source_match_id","prematch_slot1_probability","prematch_slot1_advancement_probability","prematch_slot1_regulation_win_probability","prematch_slot1_extra_time_penalty_probability","prematch_slot1_tiebreak_probability","prematch_slot2_probability","prematch_slot2_advancement_probability","prematch_slot2_regulation_win_probability","prematch_slot2_extra_time_penalty_probability","prematch_slot2_tiebreak_probability","prematch_draw_after_regulation_probability","prematch_projected_winner_team","prematch_projected_winner","prematch_projected_winner_match_probability","prematch_projected_winner_regulation_probability","prematch_projected_winner_extra_time_penalty_probability","prematch_projected_winner_tiebreak_probability","prematch_projected_winner_route_label","prematch_slot1_expected_goals","prematch_slot2_expected_goals","prematch_most_likely_score","prematch_most_likely_score_probability","prematch_rounded_expected_score","prematch_over_2_5_probability","prematch_both_teams_to_score_probability","prematch_top_scorelines_label","prematch_generated_at","prematch_feature_cutoff_date","prematch_actual_results_cutoff_date","prematch_forecast_source"
"M83","Round of 32","Runner-up Group K","Portugal","Portugal",NA,"Runner-up Group L","Croatia","Croatia",NA,1,0.660693164769787,0.513143765127642,0.147549399642145,0.621285676893591,1,0.339306835230213,0.2493658095661,0.0899410256641128,0.378714323106409,0.237490425306258,"Portugal","Portugal",0.660693164769787,0.513143765127642,0.147549399642145,0.621285676893591,"90' win 51.3% + (90' draw 23.7% x ET/pens share 62.1% = 14.8%)",1.69245424200545,1.04350120679598,"1-0",0.115399902668771,"2-1",0.49523278161439,0.474768378678425,"1-0 11.5% | 1-1 9.9% | 2-0 8.9% | 0-0 8.7% | 2-1 7.7%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M84","Round of 32","Winner Group H","Spain","Spain",NA,"Runner-up Group J","Austria","Austria",NA,1,0.731125741143255,0.568258498217815,0.16286724292544,0.727530670287589,1,0.268874258856745,0.207878440639952,0.0609958182167928,0.272469329712411,0.223863061142233,"Spain","Spain",0.731125741143255,0.568258498217815,0.16286724292544,0.727530670287589,"90' win 56.8% + (90' draw 22.4% x ET/pens share 72.8% = 16.3%)",1.86576897032062,0.95092479968844,"1-0",0.117509319842289,"2-1",0.511867629611992,0.467095145138891,"1-0 11.8% | 2-0 9.8% | 1-1 9.4% | 0-0 8.2% | 2-1 7.8%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M85","Round of 32","Winner Group B","Switzerland","Switzerland",NA,"Best 3rd E/F/G/I/J","Algeria","Algeria",NA,1,0.472870307289293,0.347871920680375,0.124998386608918,0.495487656271194,1,0.527129692710706,0.399854616950053,0.127275075760653,0.504512343728806,0.252273462369571,"Algeria","Algeria",0.527129692710706,0.399854616950053,0.127275075760653,0.504512343728806,"90' win 40.0% + (90' draw 25.2% x ET/pens share 50.5% = 12.7%)",1.26140863756134,1.400292068928,"1-1",0.105644424926928,"1-1",0.478898774515265,0.483597569541038,"1-1 10.6% | 0-1 10.1% | 1-0 9.7% | 0-0 9.3% | 1-2 6.9%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M86","Round of 32","Winner Group J","Argentina","Argentina",NA,"Runner-up Group H","Cape Verde","Cape Verde",NA,1,0.887801622771773,0.74485557150371,0.142946051268063,0.903805051653304,1,0.112198377228227,0.0969841581962117,0.0152142190320155,0.0961949483466963,0.158160270300078,"Argentina","Argentina",0.887801622771773,0.74485557150371,0.142946051268063,0.903805051653304,"90' win 74.5% + (90' draw 15.8% x ET/pens share 90.4% = 14.3%)",2.59349856000931,0.677955365670832,"2-0",0.117545276228632,"3-1",0.596709330668376,0.416631687848828,"2-0 11.8% | 1-0 11.0% | 3-0 9.5% | 2-1 7.0% | 1-1 6.6%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M87","Round of 32","Winner Group K","Colombia","Colombia",NA,"Best 3rd D/E/I/J/L","Ghana","Ghana",NA,1,0.786258535652499,0.59748106442693,0.188777471225569,0.87539411550376,1,0.213741464347501,0.186870386100089,0.026871078247412,0.12460588449624,0.215648549472981,"Colombia","Colombia",0.786258535652499,0.59748106442693,0.188777471225569,0.87539411550376,"90' win 59.7% + (90' draw 21.6% x ET/pens share 87.5% = 18.9%)",1.96077904991597,0.900096320660763,"1-0",0.118463326062322,"2-1",0.520669466236492,0.460099127080983,"1-0 11.8% | 2-0 10.2% | 1-1 9.0% | 0-0 8.0% | 2-1 7.8%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M88","Round of 32","Runner-up Group D","Australia","Australia",NA,"Runner-up Group G","Egypt","Egypt",NA,1,0.538472975730611,0.407275398636859,0.131197577093752,0.521099150018538,1,0.461527024269389,0.340953749138407,0.120573275130982,0.478900849981462,0.251770852224735,"Australia","Australia",0.538472975730611,0.407275398636859,0.131197577093752,0.521099150018538,"90' win 40.7% + (90' draw 25.2% x ET/pens share 52.1% = 13.1%)",1.4063541687634,1.25600256155414,"1-1",0.105469007648425,"1-1",0.4794299422401,0.48363227909847,"1-1 10.5% | 1-0 10.5% | 0-1 9.2% | 0-0 9.2% | 2-1 7.0%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M89","Round of 16","Winner M74","Paraguay","Paraguay","M74","Winner M77","France","France","M77",1,0.216585944147949,0.164112250486281,0.052473693661668,0.255408509259443,0.78233,0.783414055852051,0.6304376890838,0.152976366768251,0.744591490740557,0.205450060429919,"France","France",0.783414055852051,0.6304376890838,0.152976366768251,0.744591490740557,"90' win 63.0% + (90' draw 20.5% x ET/pens share 74.5% = 15.3%)",0.838197668526006,2.10993337197709,"0-1",0.11613732205085,"1-2",0.53392447670385,0.450616737979541,"0-1 11.6% | 0-2 10.3% | 1-1 8.6% | 0-0 7.8% | 1-2 7.6%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M90","Round of 16","Winner M73","Canada","Canada","M73","Winner M75","Morocco","Morocco","M75",1,0.338466988391307,0.249414546346635,0.0890524420446721,0.373865472213313,1,0.661533011608693,0.512391641538342,0.149141370070351,0.626134527786687,0.238193812115023,"Morocco","Morocco",0.661533011608693,0.512391641538342,0.149141370070351,0.626134527786687,"90' win 51.2% + (90' draw 23.8% x ET/pens share 62.6% = 14.9%)",1.03369277291545,1.70780050677684,"0-1",0.112619686798514,"1-2",0.494474704754128,0.473507515865548,"0-1 11.3% | 1-1 10.0% | 0-0 8.9% | 0-2 8.6% | 1-0 7.8%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M91","Round of 16","Winner M76","Brazil","Brazil","M76","Winner M78","Norway","Norway","M78",1,0.691556919308502,0.521153301487754,0.170403617820749,0.723520394277499,1,0.308443080691497,0.243326567817227,0.0651165128742709,0.276479605722501,0.235520130695019,"Brazil","Brazil",0.691556919308502,0.521153301487754,0.170403617820749,0.723520394277499,"90' win 52.1% + (90' draw 23.6% x ET/pens share 72.4% = 17.0%)",1.71851133981374,1.03157692522609,"1-0",0.115562375877493,"2-1",0.498211505422744,0.474546727492491,"1-0 11.6% | 1-1 9.9% | 2-0 9.0% | 0-0 8.6% | 2-1 7.7%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
"M92","Round of 16","Winner M79","Mexico","Mexico","M79","Winner M80","England","England","M80",0.51826,0.369349749688721,0.262057229935096,0.107292519753625,0.445250575849718,0.78118,0.630650250311279,0.49697167294983,0.133678577361449,0.554749424150282,0.240971097115074,"England","England",0.630650250311279,0.49697167294983,0.133678577361449,0.554749424150282,"90' win 49.7% + (90' draw 24.1% x ET/pens share 55.5% = 13.4%)",1.06384267120064,1.66407450400027,"0-1",0.111230778027941,"1-2",0.491877222518642,0.47623732375263,"0-1 11.1% | 1-1 10.1% | 0-0 8.9% | 0-2 8.3% | 1-0 8.1%","2026-07-01 00:57:57.646951","2026-06-30","2026-07-01","dashboard_bracket_archive"
