"schema_version","edition_id","refresh_batch_id","event_index","status","event_at_utc","candidate_bundle_id","last_accepted_bundle_id","last_accepted_output_bundle_id","registry_revision","operator","operator_action","validation_passed","record_relative_path","row_sha256"
"phase13-refresh-status-history-v1","uefa_nations_league_2026_27","refresh-20260817-uefa-official-v1",1,"accepted","2026-08-17T20:43:53Z","nl-2026-27-official-uefa-v1","nl-2026-27-official-uefa-v1","nl-2026-27-official-uefa-v1",3,"codex","Replaced the fictional sample with the official UEFA 2026/27 Nations League match endpoint response.",TRUE,,"026a089b1078cd435a159e9c262ac23305502359a4926345dd95db9bac859dda"
"phase13-refresh-status-history-v1","uefa_nations_league_2026_27","refresh-20260817-uefa-official-v2",2,"accepted","2026-08-17T20:48:22Z","nl-2026-27-official-uefa-v2","nl-2026-27-official-uefa-v2","nl-2026-27-official-uefa-v2",4,"codex","Replaced the fictional sample with the official UEFA 2026/27 Nations League match endpoint response.",TRUE,"","1a9079d9725a07bcb4aa353a3df53400a9c14faab9e44527f79e2921f03a3dae"
