"edition_id","team_id","discipline_points","initialization_status","as_of_utc","source_artifact_id","source_url","source_url_lineage","retrieved_at_utc","source_note","row_sha256"
"uefa_nations_league_2026_27","team_cyp",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","1ef898b2652daf0b3afad1674e75607c4bd685318924260fe5739e94cf97337a"
"uefa_nations_league_2026_27","team_cze",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","2ea1106de22a7cc9c8134e43c9b5e844ba2951c064d6da5036558dd49896741d"
"uefa_nations_league_2026_27","team_den",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","a536472876a02d8d9dc2feb3b2deee74b3bc2e2af107f4cf0001bf906a343b60"
"uefa_nations_league_2026_27","team_deu",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","03b67ffac55e04f50cee913f7afbaea3ff517bdea9261fb6aadfb38e9ea954ee"
"uefa_nations_league_2026_27","team_eng",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","a28668fc906fb3b39068b213448ed0bcd48838dc58fcdc74f055c38e498b701e"
"uefa_nations_league_2026_27","team_esp",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","4306877bcd8401516328946224f1cb1cb250e1c6cd6538ec30bf91c34629b955"
"uefa_nations_league_2026_27","team_est",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","32e95747f31554d5f1f35aefd946bfe31a77be168ee6c09b2aa3edfe69672a1f"
"uefa_nations_league_2026_27","team_fin",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","c0cf834c0056bac79c46dfa22c6012b91becd710dd206ecb3fa7ae28cfbdf8e1"
"uefa_nations_league_2026_27","team_fra",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","350fbcd452373f49e9a5ec8c122d124cf78ebdf26da5ba544146441ae02effdc"
"uefa_nations_league_2026_27","team_fro",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","154aa27f045edc0d8aaf90503cf186bc8d564cb247a3b4e8ba1de986450756bd"
"uefa_nations_league_2026_27","team_geo",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","c914ded2bda32f76fd936bd654874a06b6a0d77449814d82f5bbb969d735d8c4"
"uefa_nations_league_2026_27","team_gibraltar",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","9e9991ebc12b70e05de9e71c9362ffc203661b8286566a1dac7ae7fe1ef9d5cb"
"uefa_nations_league_2026_27","team_gre",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","b7353d125302d6c35772c63df7a798a259ddfd7aca58c8a463c3768053895049"
"uefa_nations_league_2026_27","team_hun",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","dfe12105ccaa08ab6b783e0bca041f8f1d5e0790867de1291bd0ff2f5b039292"
"uefa_nations_league_2026_27","team_isl",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","8db9f0ad0ffbbb1ef9b84c05b4e687030790a53022b0d956821cff338478d64e"
"uefa_nations_league_2026_27","team_isr",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","dc7c968cde800341238655eb02be33372288fa404b758257bee1701d64f76df4"
"uefa_nations_league_2026_27","team_ita",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","524c17984576542a4575754cb08d2d13a9495b1711ed0ff23e92bedf56dfc39f"
"uefa_nations_league_2026_27","team_kaz",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","17c3f9dfa7103c2d889272227d9430d832e03601b913ed3142e9912779083653"
"uefa_nations_league_2026_27","team_kvx",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","e0324239982e4aaa71dbf46341529e41191be73550a87e5992c5d703a2f070fe"
"uefa_nations_league_2026_27","team_lie",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","2a31d4b1ea90ff2d32a8fdf877e4e084d6affe2ddbe7ef2ca14a0a95e96e43d3"
"uefa_nations_league_2026_27","team_ltu",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","22f43baffe5437380ada05f9f0f5eeaef35fdbe092355cef849e24fedd5f529c"
"uefa_nations_league_2026_27","team_lux",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","c48b633193d05da5b4262a4785ba904fdeb2aad41bdf3a6d2e4c0c733efc6f82"
"uefa_nations_league_2026_27","team_lva",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","3a3c09d31832042079837a7d6a03a3263d275537cb9a4d355dac2b82de896491"
"uefa_nations_league_2026_27","team_mda",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","39307a5e58bc99f29a370d63cac139814c21d846bf3e397afb59d1820a49a539"
"uefa_nations_league_2026_27","team_mkd",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","7039036e91104e64ec38b2ee529cc508c3ce04a6082b92909ed3b4f04d5a919b"
"uefa_nations_league_2026_27","team_mlt",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","b00964b65bdeeb4f7884c94e6ff8170fe12c8ac18735c75ab7ea3e41b376b2d3"
"uefa_nations_league_2026_27","team_mne",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","4e9848dcc24630f69cf6e6af77ff4f8df91338c50765c0e6f5cdc1158d2dc2ae"
"uefa_nations_league_2026_27","team_ned",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","5677c012ccbe3ce88ca01f133727a5cd8aa94eb4ccc25d96f850fa5ab901a92b"
"uefa_nations_league_2026_27","team_nir",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","a1e418007348a61966f97325b82a064315c1b436ef9b4f897c1ce670fe37785f"
"uefa_nations_league_2026_27","team_nor",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","c832dfed565d3da609a0e7ac8c17d773ca0ba4206fee4df32a98da4c27c31b53"
"uefa_nations_league_2026_27","team_pol",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","c12e4d5a34668b891799c7bb745139fef8052145023df133e564ceca292f3464"
"uefa_nations_league_2026_27","team_por",0,"initialized_pre_match","2026-08-27T00:00:00Z","nl-2026-27-article15-discipline-baseline-v1","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","https://documents.uefa.com/r/Regulations-of-the-UEFA-Nations-League-2026/27/Article-15-Equality-of-points-league-phase-Online","2026-08-27T00:00:00Z","Pre-match baseline: no 2026/27 league-phase matches have been played; discipline points are initialized to zero until official card totals are captured.","ce10920b6433a9ec3f6ed3189bc589c2d468244bef290c1fd858f713991b94ba"
