"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","score_source","actual_winner_team","home_team_canonical","away_team_canonical","home_team_fifa","away_team_fifa","result","match_id","is_home"
1983-04-09,"Jersey","Alderney",6,1,"Muratti Vase","Jersey","Jersey",FALSE,"martj42",NA,"Jersey","Alderney",NA,NA,1,"Jersey_Alderney_1983-04-09",TRUE
1983-04-10,"Congo","Egypt",2,0,"African Cup of Nations qualification","Brazzaville","Congo",FALSE,"martj42",NA,"Congo","Egypt","CGO","EGY",1,"Congo_Egypt_1983-04-10",TRUE
1983-04-10,"Ethiopia","Mauritius",1,0,"African Cup of Nations qualification","Addis Ababa","Ethiopia",FALSE,"martj42",NA,"Ethiopia","Mauritius","ETH","MUR",1,"Ethiopia_Mauritius_1983-04-10",TRUE
1983-04-10,"Guinea","Togo",0,1,"African Cup of Nations qualification","Conakry","Guinea",FALSE,"martj42",NA,"Guinea","Togo","GUI","TOG",0,"Guinea_Togo_1983-04-10",TRUE
1983-04-10,"Madagascar","Uganda",1,0,"African Cup of Nations qualification","Antananarivo","Madagascar",FALSE,"martj42",NA,"Madagascar","Uganda","MAD","UGA",1,"Madagascar_Uganda_1983-04-10",TRUE
1983-04-10,"Morocco","Mali",4,0,"African Cup of Nations qualification","Rabat","Morocco",FALSE,"martj42",NA,"Morocco","Mali","MAR","MLI",1,"Morocco_Mali_1983-04-10",TRUE
1983-04-10,"Sudan","Zambia",2,1,"African Cup of Nations qualification","Khartoum","Sudan",FALSE,"martj42",NA,"Sudan","Zambia","SUD","ZAM",1,"Sudan_Zambia_1983-04-10",TRUE
1983-04-10,"Tunisia","Rwanda",5,0,"African Cup of Nations qualification","Tunis","Tunisia",FALSE,"martj42",NA,"Tunisia","Rwanda","TUN","RWA",1,"Tunisia_Rwanda_1983-04-10",TRUE
1983-04-13,"German DR","Bulgaria",3,0,"Friendly","Gera","German DR",FALSE,"martj42",NA,"German DR","Bulgaria",NA,"BUL",1,"German DR_Bulgaria_1983-04-13",TRUE
1983-04-13,"Portugal","Hungary",0,0,"Friendly","Coimbra","Portugal",FALSE,"martj42",NA,"Portugal","Hungary","POR","HUN",0.5,"Portugal_Hungary_1983-04-13",TRUE
1983-04-13,"Switzerland","Russia",0,1,"Friendly","Lausanne","Switzerland",FALSE,"martj42",NA,"Switzerland","Russia","SUI","RUS",0,"Switzerland_Russia_1983-04-13",TRUE
1983-04-16,"Czechoslovakia","Cyprus",6,0,"UEFA Euro qualification","Prague","Czechoslovakia",FALSE,"martj42",NA,"Czechoslovakia","Cyprus",NA,"CYP",1,"Czechoslovakia_Cyprus_1983-04-16",TRUE
1983-04-16,"Romania","Italy",1,0,"UEFA Euro qualification","Bucharest","Romania",FALSE,"martj42",NA,"Romania","Italy","ROU","ITA",1,"Romania_Italy_1983-04-16",TRUE
1983-04-17,"Guinea-Bissau","Togo",2,0,"Friendly","Bissau","Guinea-Bissau",FALSE,"martj42",NA,"Guinea-Bissau","Togo","GNB","TOG",1,"Guinea-Bissau_Togo_1983-04-17",TRUE
1983-04-17,"Hungary","Luxembourg",6,2,"UEFA Euro qualification","Budapest","Hungary",FALSE,"martj42",NA,"Hungary","Luxembourg","HUN","LUX",1,"Hungary_Luxembourg_1983-04-17",TRUE
1983-04-17,"Mali","Ivory Coast",1,2,"Friendly","Bamako","Mali",FALSE,"martj42",NA,"Mali","Ivory Coast","MLI","CIV",0,"Mali_Ivory Coast_1983-04-17",TRUE
1983-04-17,"Poland","Finland",1,1,"UEFA Euro qualification","Warsaw","Poland",FALSE,"martj42",NA,"Poland","Finland","POL","FIN",0.5,"Poland_Finland_1983-04-17",TRUE
1983-04-17,"Sierra Leone","Jordan",2,1,"Friendly","Freetown","Sierra Leone",FALSE,"martj42",NA,"Sierra Leone","Jordan","SLE","JOR",1,"Sierra Leone_Jordan_1983-04-17",TRUE
1983-04-22,"Egypt","Congo",2,0,"African Cup of Nations qualification","Cairo","Egypt",FALSE,"martj42",NA,"Egypt","Congo","EGY","CGO",1,"Egypt_Congo_1983-04-22",TRUE
1983-04-23,"France","Yugoslavia",4,0,"Friendly","Paris","France",FALSE,"martj42",NA,"France","Yugoslavia","FRA","YUG",1,"France_Yugoslavia_1983-04-23",TRUE
1983-04-23,"Turkey","Germany",0,3,"UEFA Euro qualification","İzmir","Turkey",FALSE,"martj42",NA,"Turkey","Germany","TUR","GER",0,"Turkey_Germany_1983-04-23",TRUE
1983-04-24,"Angola","Nigeria",1,0,"African Cup of Nations qualification","Luanda","Angola",FALSE,"martj42",NA,"Angola","Nigeria","ANG","NGA",1,"Angola_Nigeria_1983-04-24",TRUE
1983-04-24,"Barbados","Guyana",1,1,"CFU Caribbean Cup qualification","Bridgetown","Barbados",FALSE,"martj42",NA,"Barbados","Guyana","BRB","GUY",0.5,"Barbados_Guyana_1983-04-24",TRUE
1983-04-24,"Cameroon","Mozambique",4,0,"African Cup of Nations qualification","Yaoundé","Cameroon",FALSE,"martj42",NA,"Cameroon","Mozambique","CMR","MOZ",1,"Cameroon_Mozambique_1983-04-24",TRUE
1983-04-24,"Mali","Morocco",2,0,"African Cup of Nations qualification","Bamako","Mali",FALSE,"martj42",NA,"Mali","Morocco","MLI","MAR",1,"Mali_Morocco_1983-04-24",TRUE
1983-04-24,"Mauritius","Ethiopia",1,0,"African Cup of Nations qualification","Curepipe","Mauritius",FALSE,"martj42",NA,"Mauritius","Ethiopia","MUR","ETH",1,"Mauritius_Ethiopia_1983-04-24",TRUE
1983-04-24,"Rwanda","Tunisia",0,1,"African Cup of Nations qualification","Kigali","Rwanda",FALSE,"martj42",NA,"Rwanda","Tunisia","RWA","TUN",0,"Rwanda_Tunisia_1983-04-24",TRUE
1983-04-24,"Senegal","Libya",1,0,"African Cup of Nations qualification","Dakar","Senegal",FALSE,"martj42",NA,"Senegal","Libya","SEN","LBY",1,"Senegal_Libya_1983-04-24",TRUE
1983-04-24,"Togo","Guinea",2,0,"African Cup of Nations qualification","Lomé","Togo",FALSE,"martj42",NA,"Togo","Guinea","TOG","GUI",1,"Togo_Guinea_1983-04-24",TRUE
1983-04-24,"Uganda","Madagascar",1,2,"African Cup of Nations qualification","Kampala","Uganda",FALSE,"martj42",NA,"Uganda","Madagascar","UGA","MAD",0,"Uganda_Madagascar_1983-04-24",TRUE
1983-04-24,"Zambia","Sudan",0,0,"African Cup of Nations qualification","Lusaka","Zambia",FALSE,"martj42",NA,"Zambia","Sudan","ZAM","SUD",0.5,"Zambia_Sudan_1983-04-24",TRUE
1983-04-26,"Benin","Algeria",6,2,"African Cup of Nations qualification","Cotonou","Benin",FALSE,"martj42",NA,"Benin","Algeria","BEN","ALG",1,"Benin_Algeria_1983-04-26",TRUE
1983-04-27,"Austria","Germany",0,0,"UEFA Euro qualification","Vienna","Austria",FALSE,"martj42",NA,"Austria","Germany","AUT","GER",0.5,"Austria_Germany_1983-04-27",TRUE
1983-04-27,"Belgium","German DR",2,1,"UEFA Euro qualification","Brussels","Belgium",FALSE,"martj42",NA,"Belgium","German DR","BEL",NA,1,"Belgium_German DR_1983-04-27",TRUE
1983-04-27,"Denmark","Greece",1,0,"UEFA Euro qualification","Copenhagen","Denmark",FALSE,"martj42",NA,"Denmark","Greece","DEN","GRE",1,"Denmark_Greece_1983-04-27",TRUE
1983-04-27,"England","Hungary",2,0,"UEFA Euro qualification","London","England",FALSE,"martj42",NA,"England","Hungary","ENG","HUN",1,"England_Hungary_1983-04-27",TRUE
1983-04-27,"Netherlands","Sweden",0,3,"Friendly","Utrecht","Netherlands",FALSE,"martj42",NA,"Netherlands","Sweden","NED","SWE",0,"Netherlands_Sweden_1983-04-27",TRUE
1983-04-27,"Northern Ireland","Albania",1,0,"UEFA Euro qualification","Belfast","Northern Ireland",FALSE,"martj42",NA,"Ireland, Northern","Albania","NIR","ALB",1,"Ireland, Northern_Albania_1983-04-27",TRUE
1983-04-27,"Russia","Portugal",5,0,"UEFA Euro qualification","Moscow","Soviet Union",FALSE,"martj42",NA,"Russia","Portugal","RUS","POR",1,"Russia_Portugal_1983-04-27",TRUE
1983-04-27,"Spain","Republic of Ireland",2,0,"UEFA Euro qualification","Zaragoza","Spain",FALSE,"martj42",NA,"Spain","Republic of Ireland","ESP",NA,1,"Spain_Republic of Ireland_1983-04-27",TRUE
1983-04-27,"Wales","Bulgaria",1,0,"UEFA Euro qualification","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Bulgaria","WAL","BUL",1,"Wales_Bulgaria_1983-04-27",TRUE
1983-04-28,"Brazil","Chile",3,2,"Friendly","Rio de Janeiro","Brazil",FALSE,"martj42",NA,"Brazil","Chile","BRA","CHI",1,"Brazil_Chile_1983-04-28",TRUE
1983-04-28,"Ghana","Libya",1,0,"Friendly","Addis Ababa","Ethiopia",TRUE,"martj42",NA,"Ghana","Libya","GHA","LBY",1,"Ghana_Libya_1983-04-28",FALSE
1983-04-28,"Iraq","Egypt",2,1,"Friendly","Baghdad","Iraq",FALSE,"martj42",NA,"Iraq","Egypt","IRQ","EGY",1,"Iraq_Egypt_1983-04-28",TRUE
1983-04-29,"Ethiopia","Nigeria",0,1,"Friendly","Addis Ababa","Ethiopia",FALSE,"martj42",NA,"Ethiopia","Nigeria","ETH","NGA",0,"Ethiopia_Nigeria_1983-04-29",TRUE
1983-05-01,"Ethiopia","Libya",1,0,"Friendly","Addis Ababa","Ethiopia",FALSE,"martj42",NA,"Ethiopia","Libya","ETH","LBY",1,"Ethiopia_Libya_1983-05-01",TRUE
1983-05-01,"Ghana","Nigeria",1,0,"Friendly","Addis Ababa","Ethiopia",TRUE,"martj42",NA,"Ghana","Nigeria","GHA","NGA",1,"Ghana_Nigeria_1983-05-01",FALSE
1983-05-01,"Guinea","Guinea-Bissau",3,0,"Friendly","Conakry","Guinea",FALSE,"martj42",NA,"Guinea","Guinea-Bissau","GUI","GNB",1,"Guinea_Guinea-Bissau_1983-05-01",TRUE
1983-05-02,"Guernsey","Jersey",2,1,"Muratti Vase","Guernsey","Guernsey",FALSE,"martj42",NA,"Guernsey","Jersey",NA,NA,1,"Guernsey_Jersey_1983-05-02",TRUE
1983-05-03,"Ethiopia","Libya",0,1,"Friendly","Addis Ababa","Ethiopia",FALSE,"martj42",NA,"Ethiopia","Libya","ETH","LBY",0,"Ethiopia_Libya_1983-05-03",TRUE
1983-05-03,"Guatemala","Honduras",0,2,"Friendly","Guatemala City","Guatemala",FALSE,"martj42",NA,"Guatemala","Honduras","GUA","HON",0,"Guatemala_Honduras_1983-05-03",TRUE
1983-05-06,"Indonesia","Taiwan",0,2,"Friendly","Jakarta","Indonesia",FALSE,"martj42",NA,"Indonesia","Taiwan","IDN",NA,0,"Indonesia_Taiwan_1983-05-06",TRUE
1983-05-08,"Antigua and Barbuda","Guadeloupe",3,3,"CFU Caribbean Cup qualification","St. John's","Antigua and Barbuda",FALSE,"martj42",NA,"Antigua and Barbuda","Guadeloupe","ATG",NA,0.5,"Antigua and Barbuda_Guadeloupe_1983-05-08",TRUE
1983-05-08,"Guyana","Barbados",2,0,"CFU Caribbean Cup qualification","Georgetown","Guyana",FALSE,"martj42",NA,"Guyana","Barbados","GUY","BRB",1,"Guyana_Barbados_1983-05-08",TRUE
1983-05-08,"Togo","Guinea-Bissau",3,0,"Friendly","Lomé","Togo",FALSE,"martj42",NA,"Togo","Guinea-Bissau","TOG","GNB",1,"Togo_Guinea-Bissau_1983-05-08",TRUE
1983-05-11,"Albania","Turkey",1,1,"UEFA Euro qualification","Tirana","Albania",FALSE,"martj42",NA,"Albania","Turkey","ALB","TUR",0.5,"Albania_Turkey_1983-05-11",TRUE
1983-05-12,"Chile","Argentina",2,2,"Friendly","Santiago","Chile",FALSE,"martj42",NA,"Chile","Argentina","CHI","ARG",0.5,"Chile_Argentina_1983-05-12",TRUE
1983-05-14,"Switzerland","German DR",0,0,"UEFA Euro qualification","Bern","Switzerland",FALSE,"martj42",NA,"Switzerland","German DR","SUI",NA,0.5,"Switzerland_German DR_1983-05-14",TRUE
1983-05-15,"Hungary","Greece",2,3,"UEFA Euro qualification","Budapest","Hungary",FALSE,"martj42",NA,"Hungary","Greece","HUN","GRE",0,"Hungary_Greece_1983-05-15",TRUE
1983-05-15,"Malta","Spain",2,3,"UEFA Euro qualification","Attard","Malta",FALSE,"martj42",NA,"Malta","Spain","MLT","ESP",0,"Malta_Spain_1983-05-15",TRUE
1983-05-15,"Romania","Czechoslovakia",0,1,"UEFA Euro qualification","Bucharest","Romania",FALSE,"martj42",NA,"Romania","Czechoslovakia","ROU",NA,0,"Romania_Czechoslovakia_1983-05-15",TRUE
1983-05-15,"Sweden","Cyprus",5,0,"UEFA Euro qualification","Malmö","Sweden",FALSE,"martj42",NA,"Sweden","Cyprus","SWE","CYP",1,"Sweden_Cyprus_1983-05-15",TRUE
1983-05-17,"Austria","Russia",2,2,"Friendly","Vienna","Austria",FALSE,"martj42",NA,"Austria","Russia","AUT","RUS",0.5,"Austria_Russia_1983-05-17",TRUE
1983-05-22,"Poland","Russia",1,1,"UEFA Euro qualification","Chorzów","Poland",FALSE,"martj42",NA,"Poland","Russia","POL","RUS",0.5,"Poland_Russia_1983-05-22",TRUE
1983-05-23,"Kenya","Madagascar",1,2,"Friendly","Nairobi","Kenya",FALSE,"martj42",NA,"Kenya","Madagascar","KEN","MAD",0,"Kenya_Madagascar_1983-05-23",TRUE
1983-05-24,"Scotland","Northern Ireland",0,0,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","Ireland, Northern",NA,"NIR",0.5,"Scotland_Ireland, Northern_1983-05-24",TRUE
1983-05-25,"Martinique","Saint Kitts and Nevis",7,0,"CFU Caribbean Cup qualification","Fort-de-France","Martinique",FALSE,"martj42",NA,"Martinique","Saint Kitts and Nevis",NA,"SKN",1,"Martinique_Saint Kitts and Nevis_1983-05-25",TRUE
1983-05-28,"Northern Ireland","England",0,0,"British Home Championship","Belfast","Northern Ireland",FALSE,"martj42",NA,"Ireland, Northern","England","NIR","ENG",0.5,"Ireland, Northern_England_1983-05-28",TRUE
1983-05-28,"Wales","Scotland",0,2,"British Home Championship","Cardiff","Wales",FALSE,"martj42",NA,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1983-05-28",TRUE
1983-05-28,"Singapore","Malaysia",2,1,"Southeast Asian Games","Singapore","Singapore",FALSE,"martj42",NA,"Singapore","Malaysia","SIN","MAS",1,"Singapore_Malaysia_1983-05-28",TRUE
1983-05-29,"Egypt","Cameroon",4,0,"Friendly","Cairo","Egypt",FALSE,"martj42",NA,"Egypt","Cameroon","EGY","CMR",1,"Egypt_Cameroon_1983-05-29",TRUE
1983-05-29,"Guyana","Antigua and Barbuda",0,0,"CFU Caribbean Cup qualification","Georgetown","Guyana",FALSE,"martj42",NA,"Guyana","Antigua and Barbuda","GUY","ATG",0.5,"Guyana_Antigua and Barbuda_1983-05-29",TRUE
1983-05-29,"Iceland","Spain",0,1,"UEFA Euro qualification","Reykjavík","Iceland",FALSE,"martj42",NA,"Iceland","Spain","ISL","ESP",0,"Iceland_Spain_1983-05-29",TRUE
1983-05-29,"Sweden","Italy",2,0,"UEFA Euro qualification","Gothenburg","Sweden",FALSE,"martj42",NA,"Sweden","Italy","SWE","ITA",1,"Sweden_Italy_1983-05-29",TRUE
1983-05-29,"Thailand","Indonesia",5,0,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Thailand","Indonesia","THA","IDN",1,"Thailand_Indonesia_1983-05-29",FALSE
1983-05-29,"Myanmar","Brunei",1,2,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Myanmar","Brunei","MYA",NA,0,"Myanmar_Brunei_1983-05-29",FALSE
1983-05-30,"Philippines","Malaysia",0,0,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Philippines","Malaysia","PHI","MAS",0.5,"Philippines_Malaysia_1983-05-30",FALSE
1983-05-31,"Belgium","France",1,1,"Friendly","Luxembourg","Luxembourg",TRUE,"martj42",NA,"Belgium","France","BEL","FRA",0.5,"Belgium_France_1983-05-31",FALSE
1983-05-31,"Northern Ireland","Wales",0,1,"British Home Championship","Belfast","Northern Ireland",FALSE,"martj42",NA,"Ireland, Northern","Wales","NIR","WAL",0,"Ireland, Northern_Wales_1983-05-31",TRUE
1983-05-31,"Indonesia","Myanmar",2,1,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Indonesia","Myanmar","IDN","MYA",1,"Indonesia_Myanmar_1983-05-31",FALSE
1983-05-31,"Thailand","Brunei",2,1,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Thailand","Brunei","THA",NA,1,"Thailand_Brunei_1983-05-31",FALSE
1983-06-01,"Denmark","Hungary",3,1,"UEFA Euro qualification","Copenhagen","Denmark",FALSE,"martj42",NA,"Denmark","Hungary","DEN","HUN",1,"Denmark_Hungary_1983-06-01",TRUE
1983-06-01,"England","Scotland",2,0,"British Home Championship","London","England",FALSE,"martj42",NA,"England","Scotland","ENG",NA,1,"England_Scotland_1983-06-01",TRUE
1983-06-01,"Finland","Russia",0,1,"UEFA Euro qualification","Helsinki","Finland",FALSE,"martj42",NA,"Finland","Russia","FIN","RUS",0,"Finland_Russia_1983-06-01",TRUE
1983-06-01,"Yugoslavia","Romania",1,0,"Friendly","Sarajevo","Yugoslavia",FALSE,"martj42",NA,"Yugoslavia","Romania","YUG","ROU",1,"Yugoslavia_Romania_1983-06-01",TRUE
1983-06-01,"Singapore","Philippines",5,0,"Southeast Asian Games","Singapore","Singapore",FALSE,"martj42",NA,"Singapore","Philippines","SIN","PHI",1,"Singapore_Philippines_1983-06-01",TRUE
1983-06-02,"Paraguay","Uruguay",0,0,"Copa Artigas","Asunción","Paraguay",FALSE,"martj42",NA,"Paraguay","Uruguay","PAR","URU",0.5,"Paraguay_Uruguay_1983-06-02",TRUE
1983-06-02,"Myanmar","Thailand",1,0,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Myanmar","Thailand","MYA","THA",1,"Myanmar_Thailand_1983-06-02",FALSE
1983-06-02,"Indonesia","Brunei",1,1,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Indonesia","Brunei","IDN",NA,0.5,"Indonesia_Brunei_1983-06-02",FALSE
1983-06-04,"Nigeria","Thailand",0,0,"Korea Cup","Seoul","South Korea",TRUE,"martj42",NA,"Nigeria","Thailand","NGA","THA",0.5,"Nigeria_Thailand_1983-06-04",FALSE
1983-06-04,"Singapore","Brunei",4,0,"Southeast Asian Games","Singapore","Singapore",FALSE,"martj42",NA,"Singapore","Brunei","SIN",NA,1,"Singapore_Brunei_1983-06-04",TRUE
1983-06-04,"Thailand","Malaysia",1,1,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Thailand","Malaysia","THA","MAS",0.5,"Thailand_Malaysia_1983-06-04",FALSE
1983-06-05,"Antigua and Barbuda","Guyana",4,0,"CFU Caribbean Cup qualification","St. John's","Antigua and Barbuda",FALSE,"martj42",NA,"Antigua and Barbuda","Guyana","ATG","GUY",1,"Antigua and Barbuda_Guyana_1983-06-05",TRUE
1983-06-05,"Iceland","Malta",1,0,"UEFA Euro qualification","Reykjavík","Iceland",FALSE,"martj42",NA,"Iceland","Malta","ISL","MLT",1,"Iceland_Malta_1983-06-05",TRUE
1983-06-05,"Saint Kitts and Nevis","Martinique",0,5,"CFU Caribbean Cup qualification","Basseterre","Saint Kitts and Nevis",FALSE,"martj42",NA,"Saint Kitts and Nevis","Martinique","SKN",NA,0,"Saint Kitts and Nevis_Martinique_1983-06-05",TRUE
1983-06-05,"Malaysia","Brunei",5,0,"Southeast Asian Games","Singapore","Singapore",TRUE,"martj42",NA,"Malaysia","Brunei","MAS",NA,1,"Malaysia_Brunei_1983-06-05",FALSE
1983-06-06,"South Korea","Thailand",4,0,"Korea Cup","Suwon","South Korea",FALSE,"martj42",NA,"Korea Republic","Thailand","KOR","THA",1,"Korea Republic_Thailand_1983-06-06",TRUE
1983-06-06,"Singapore","Thailand",1,2,"Southeast Asian Games","Singapore","Singapore",FALSE,"martj42",NA,"Singapore","Thailand","SIN","THA",0,"Singapore_Thailand_1983-06-06",TRUE
1983-06-07,"Germany","Yugoslavia",4,2,"Friendly","Luxembourg","Luxembourg",TRUE,"martj42",NA,"Germany","Yugoslavia","GER","YUG",1,"Germany_Yugoslavia_1983-06-07",FALSE
1983-06-07,"Ghana","New Zealand",0,2,"Korea Cup","Seoul","South Korea",TRUE,"martj42",NA,"Ghana","New Zealand","GHA","NZL",0,"Ghana_New Zealand_1983-06-07",FALSE
1983-06-07,"Japan","Syria",1,0,"Kirin Cup","Tokyo","Japan",FALSE,"martj42",NA,"Japan","Syria","JPN","SYR",1,"Japan_Syria_1983-06-07",TRUE
1983-06-08,"Albania","Austria",1,2,"UEFA Euro qualification","Tirana","Albania",FALSE,"martj42",NA,"Albania","Austria","ALB","AUT",0,"Albania_Austria_1983-06-08",TRUE
1983-06-08,"Indonesia","Thailand",0,3,"Korea Cup","Seoul","South Korea",TRUE,"martj42",NA,"Indonesia","Thailand","IDN","THA",0,"Indonesia_Thailand_1983-06-08",FALSE
1983-06-08,"South Korea","Nigeria",1,0,"Korea Cup","Seoul","South Korea",FALSE,"martj42",NA,"Korea Republic","Nigeria","KOR","NGA",1,"Korea Republic_Nigeria_1983-06-08",TRUE
1983-06-08,"Portugal","Brazil",0,4,"Friendly","Coimbra","Portugal",FALSE,"martj42",NA,"Portugal","Brazil","POR","BRA",0,"Portugal_Brazil_1983-06-08",TRUE
1983-06-09,"New Zealand","Sudan",1,1,"Korea Cup","Daegu","South Korea",TRUE,"martj42",NA,"New Zealand","Sudan","NZL","SUD",0.5,"New Zealand_Sudan_1983-06-09",FALSE
1983-06-09,"Sweden","Romania",0,1,"UEFA Euro qualification","Solna","Sweden",FALSE,"martj42",NA,"Sweden","Romania","SWE","ROU",0,"Sweden_Romania_1983-06-09",TRUE
1983-06-09,"Uruguay","Paraguay",3,0,"Copa Artigas","Montevideo","Uruguay",FALSE,"martj42",NA,"Uruguay","Paraguay","URU","PAR",1,"Uruguay_Paraguay_1983-06-09",TRUE
1983-06-10,"Indonesia","Nigeria",1,2,"Korea Cup","Seoul","South Korea",TRUE,"martj42",NA,"Indonesia","Nigeria","IDN","NGA",0,"Indonesia_Nigeria_1983-06-10",FALSE
1983-06-12,"Australia","England",0,0,"Friendly","Sydney","Australia",FALSE,"martj42",NA,"Australia","England","AUS","ENG",0.5,"Australia_England_1983-06-12",TRUE
1983-06-12,"Canada","Scotland",0,2,"Friendly","Vancouver","Canada",FALSE,"martj42",NA,"Canada","Scotland","CAN",NA,0,"Canada_Scotland_1983-06-12",TRUE
1983-06-12,"South Korea","Indonesia",3,0,"Korea Cup","Jeonju","South Korea",FALSE,"martj42",NA,"Korea Republic","Indonesia","KOR","IDN",1,"Korea Republic_Indonesia_1983-06-12",TRUE
1983-06-12,"Wales","Brazil",1,1,"Friendly","Cardiff","Wales",FALSE,"martj42",NA,"Wales","Brazil","WAL","BRA",0.5,"Wales_Brazil_1983-06-12",TRUE
1983-06-13,"Ghana","Sudan",3,1,"Korea Cup","Seoul","South Korea",TRUE,"martj42",NA,"Ghana","Sudan","GHA","SUD",1,"Ghana_Sudan_1983-06-13",FALSE
1983-06-15,"Australia","England",0,1,"Friendly","Brisbane","Australia",FALSE,"martj42",NA,"Australia","England","AUS","ENG",0,"Australia_England_1983-06-15",TRUE
1983-06-15,"South Korea","Ghana",1,0,"Korea Cup","Seoul","South Korea",FALSE,"martj42",NA,"Korea Republic","Ghana","KOR","GHA",1,"Korea Republic_Ghana_1983-06-15",TRUE
1983-06-16,"Canada","Scotland",0,3,"Friendly","Edmonton","Canada",FALSE,"martj42",NA,"Canada","Scotland","CAN",NA,0,"Canada_Scotland_1983-06-16",TRUE
1983-06-16,"Malawi","Mozambique",2,0,"Friendly","Lilongwe","Malawi",FALSE,"martj42",NA,"Malawi","Mozambique","MWI","MOZ",1,"Malawi_Mozambique_1983-06-16",TRUE
1983-06-17,"Switzerland","Brazil",1,2,"Friendly","Basel","Switzerland",FALSE,"martj42",NA,"Switzerland","Brazil","SUI","BRA",0,"Switzerland_Brazil_1983-06-17",TRUE
1983-06-18,"Malawi","Mozambique",0,0,"Friendly","Blantyre","Malawi",FALSE,"martj42",NA,"Malawi","Mozambique","MWI","MOZ",0.5,"Malawi_Mozambique_1983-06-18",TRUE
1983-06-19,"Australia","England",1,1,"Friendly","Melbourne","Australia",FALSE,"martj42",NA,"Australia","England","AUS","ENG",0.5,"Australia_England_1983-06-19",TRUE
1983-06-19,"Réunion","Seychelles",2,1,"Friendly","Saint-Pierre","Réunion",FALSE,"martj42",NA,"Réunion","Seychelles",NA,"SEY",1,"Réunion_Seychelles_1983-06-19",TRUE
1983-06-22,"Sweden","Brazil",3,3,"Friendly","Gothenburg","Sweden",FALSE,"martj42",NA,"Sweden","Brazil","SWE","BRA",0.5,"Sweden_Brazil_1983-06-22",TRUE
1983-06-23,"Argentina","Chile",1,0,"Friendly","Buenos Aires","Argentina",FALSE,"martj42",NA,"Argentina","Chile","ARG","CHI",1,"Argentina_Chile_1983-06-23",TRUE
1983-06-23,"Réunion","Seychelles",0,0,"Friendly","Saint-Pierre","Réunion",FALSE,"martj42",NA,"Réunion","Seychelles",NA,"SEY",0.5,"Réunion_Seychelles_1983-06-23",TRUE
1983-06-26,"Niger","Mauritania",1,0,"Friendly","Niamey","Niger",FALSE,"martj42",NA,"Niger","Mauritania","NIG","MTN",1,"Niger_Mauritania_1983-06-26",TRUE
1983-06-29,"Greenland","Faroe Islands",0,0,"Friendly","Nuuk","Greenland",FALSE,"martj42",NA,"Greenland","Faroe Islands",NA,"FRO",0.5,"Greenland_Faroe Islands_1983-06-29",TRUE
1983-07-01,"Hong Kong","Macau",1,0,"Friendly","So Kon Po","Hong Kong",FALSE,"martj42",NA,"Hong Kong","Macau","HKG",NA,1,"Hong Kong_Macau_1983-07-01",TRUE
1983-07-03,"Ethiopia","Togo",2,1,"African Cup of Nations qualification","Addis Ababa","Ethiopia",FALSE,"martj42",NA,"Ethiopia","Togo","ETH","TOG",1,"Ethiopia_Togo_1983-07-03",TRUE
1983-07-03,"Gambia","Mali",1,1,"Friendly","Banjul","Gambia",FALSE,"martj42",NA,"Gambia","Mali","GAM","MLI",0.5,"Gambia_Mali_1983-07-03",TRUE
1983-07-03,"Greenland","Faroe Islands",2,3,"Friendly","Nuuk","Greenland",FALSE,"martj42",NA,"Greenland","Faroe Islands",NA,"FRO",0,"Greenland_Faroe Islands_1983-07-03",TRUE
1983-07-03,"Seychelles","Mauritius",1,2,"Friendly","Victoria","Seychelles",FALSE,"martj42",NA,"Seychelles","Mauritius","SEY","MUR",0,"Seychelles_Mauritius_1983-07-03",TRUE
1983-07-06,"Malawi","Zimbabwe",0,0,"Friendly","Blantyre","Malawi",FALSE,"martj42",NA,"Malawi","Zimbabwe","MWI","ZIM",0.5,"Malawi_Zimbabwe_1983-07-06",TRUE
1983-07-08,"Malawi","Zimbabwe",1,0,"Friendly","Blantyre","Malawi",FALSE,"martj42",NA,"Malawi","Zimbabwe","MWI","ZIM",1,"Malawi_Zimbabwe_1983-07-08",TRUE
1983-07-08,"Qatar","Sudan",3,1,"Friendly","Doha","Qatar",FALSE,"martj42",NA,"Qatar","Sudan","QAT","SUD",1,"Qatar_Sudan_1983-07-08",TRUE
1983-07-10,"Madagascar","Mauritius",1,1,"Friendly","Saint-Pierre","Réunion",TRUE,"martj42",NA,"Madagascar","Mauritius","MAD","MUR",0.5,"Madagascar_Mauritius_1983-07-10",FALSE
