"team","fifa_code","rating","last_match_date","matches_last_year","matches_this_year"
"New Caledonia","NCL",1095.49136195279,2026-03-26,3,1
"Fiji","FIJ",1013.78518625493,2026-06-06,5,1
"Nigeria","NGA",1266.72347565641,2026-06-10,14,10
"Myanmar","MYA",728.816885444077,2026-06-09,5,2
"Sri Lanka","SRI",652.592027472774,2025-11-18,10,9
"Tahiti","TAH",1069.3053692306,2025-03-21,8,1
"Gambia","GAM",1041.87791385997,2026-05-29,9,2
"Hong Kong","HKG",818.334478072378,2026-06-09,10,2
"Singapore","SIN",843.02594234333,2026-06-05,10,2
"Malaysia","MAS",1004.58066100037,2025-11-18,17,9
"Indonesia","IDN",994.589066795541,2026-06-09,8,4
"Guinea-Bissau","GNB",914.561274923798,2026-03-31,8,2
"German DR",NA,1307.593775206,1990-09-12,11,7
"Vanuatu","VAN",996.434590890319,2026-06-06,3,1
"Kernow",NA,1192.13804837988,2023-07-16,1,1
"Saarland",NA,1309.49708766391,1956-06-06,1,2
"Taiwan",NA,711.33726819934,2025-11-18,8,6
"Cambodia","CAM",675.182866580678,2026-06-09,4,2
"Lebanon","LBN",953.868947887375,2025-11-26,12,10
"Pakistan","PAK",696.205906319764,2026-06-10,5,3
"Vietnam Republic",NA,1156.76668426781,1975-03-23,7,4
"Korea DPR","PRK",1017.23036318215,2025-06-10,11,5
"Togo","TOG",1020.62596241396,2026-06-09,6,4
"Sudan","SUD",1007.64695974517,2026-01-03,16,1
"Malta","MLT",891.88297332104,2026-06-05,10,2
"Syria","SYR",1052.81387140082,2026-06-05,12,1
"Tunisia","TUN",1186.20576505824,2026-06-25,17,8
"Malawi","MWI",953.510623873789,2026-06-09,8,3
"Morocco","MAR",1386.81784383652,2026-06-29,19,13
"Benin","BEN",1088.50777469317,2026-06-09,11,5
"Thailand","THA",1044.2705155729,2026-06-09,12,2
"Ivory Coast","CIV",1264.58949100864,2026-06-30,13,9
"Burkina Faso","BFA",1154.21553291759,2026-06-09,17,5
"Congo","CGO",876.127115928627,2025-10-14,8,3
"Cameroon","CMR",1174.76885485872,2026-03-31,12,4
"Mali","MLI",1184.80777108996,2026-06-04,11,4
"North Vietnam",NA,1300.45637221214,1970-09-20,5,1
"Mongolia","MGL",610.970753155027,2026-06-05,8,2
"Cyprus","CYP",918.275042093991,2026-06-07,10,4
"Iraq","IRQ",1193.56301068296,2026-06-26,14,7
"Saint Lucia","LCA",842.388617442922,2026-03-27,4,1
"Grenada","GRN",836.08162570711,2026-05-16,7,4
"Senegal","SEN",1331.62872552411,2026-06-26,13,11
"Central African Republic","CAF",941.10365859429,2026-06-09,7,2
"Chad","CHA",827.817559143356,2025-11-17,10,10
"Libya","LBY",1061.85321514118,2026-03-31,8,2
"Gabon","GAB",1056.64172085053,2026-03-30,12,2
"Guinea","GUI",1052.76207236435,2026-06-04,8,3
"Algeria","ALG",1327.12799052725,2026-06-27,18,9
"Kuwait","KUW",997.584569459405,2026-06-05,12,1
"Jordan","JOR",1160.98842965433,2026-06-27,19,7
"Liberia","LBR",952.439141855001,2026-06-09,7,4
"Solomon Islands","SOL",937.832450839008,2026-03-30,2,2
"Laos","LAO",592.266600570786,2025-11-19,6,6
"Saint Vincent and the Grenadines","VIN",907.409821774836,2026-03-29,12,2
"Bermuda",NA,912.929044388513,2026-06-06,10,2
"Niger","NIG",978.469028329897,2026-06-08,10,4
"Montenegro","MNE",1036.13786920284,2026-06-05,10,4
"Palestine","PLE",1048.3281838569,2026-06-09,11,2
"Bahrain","BHR",1038.90322039668,2026-06-05,13,1
"Papua New Guinea","PNG",1011.85763266895,2025-11-23,11,3
"Mauritania","MTN",1027.58798118399,2026-06-08,11,3
"Saudi Arabia","KSA",1160.80392046991,2026-06-26,20,8
"Eswatini","SWZ",899.036630709153,2025-10-13,10,6
"Western Australia",NA,1164.1945595385,1980-11-25,2,2
"Somalia","SOM",692.035651638747,2025-11-26,4,8
"Lesotho","LES",964.382606327513,2026-06-04,8,1
"Cook Islands",NA,835.592649909232,2024-09-06,6,3
"Qatar","QAT",1073.33162415661,2026-06-24,13,5
"Antigua and Barbuda","ATG",710.771067063078,2025-11-18,8,4
"Faroe Islands","FRO",898.37789730768,2026-06-09,10,3
"Bangladesh","BAN",745.943958920039,2026-06-05,8,2
"Yemen","YEM",867.998969395939,2025-11-26,9,6
"Oman","OMA",1100.33507179158,2026-06-05,16,1
"Yemen DPR",NA,1153.72657655657,1989-11-05,4,3
"Burundi","BDI",962.532765627369,2026-05-26,8,1
"Mozambique","MOZ",995.157782152931,2026-06-09,12,2
"Guam","GUM",618.574703856272,2026-06-06,4,4
"Angola","ANG",1105.65790823494,2026-06-09,11,2
"Dominican Republic","DOM",949.516950169022,2026-06-03,11,3
"Seychelles","SEY",642.479372946033,2025-10-14,2,6
"Rwanda","RWA",992.986450542174,2026-03-30,8,2
"São Tomé and Príncipe",NA,781.483736420947,2025-10-13,4,6
"Botswana","BOT",955.926463521105,2026-03-31,9,2
"Northern Cyprus",NA,1494.79562426528,2018-06-09,5,6
"Cape Verde","CPV",1171.85061714783,2026-06-26,11,7
"Kyrgyzstan","KGZ",958.291353930732,2026-06-09,4,4
"Georgia","GEO",1145.9999366851,2026-06-05,10,4
"Azerbaijan","AZE",904.285610563399,2026-06-09,10,4
"Comoros","COM",1003.15514505785,2026-06-09,16,3
"Kiribati",NA,1068.71105698273,2011-09-05,4,4
"Tonga","TGA",755.771691930496,2024-09-09,4,4
"Wallis Islands and Futuna",NA,1082.60863527273,1995-08-20,5,4
"United Arab Emirates","UAE",1112.96163588379,2025-12-15,18,15
"Brunei",NA,565.730049500995,2025-11-18,9,6
"Equatorial Guinea","EQG",1012.16241882488,2026-06-09,12,3
"Liechtenstein","LIE",591.654287857158,2026-06-07,10,4
"Nepal","NEP",721.968488788069,2025-11-18,6,9
"Greenland",NA,1169.69387402249,2024-06-01,3,1
"Niue",NA,1455.06200971508,1983-08-22,0,2
"Samoa",NA,896.491926302177,2024-11-18,4,10
"American Samoa",NA,698.422510858273,2026-03-28,1,2
"Belize","BLZ",819.868326686578,2026-03-30,6,2
"Maldives","MDV",618.981761304984,2026-06-01,9,2
"Anguilla",NA,575.40303563477,2026-03-29,6,2
"Cayman Islands",NA,674.317968638382,2026-06-06,4,4
"Palau",NA,1348.14490626076,1998-08-01,1,1
"Sint Maarten",NA,905.490616713824,2026-03-30,2,2
"Namibia","NAM",1006.06133762731,2026-03-28,8,2
"Åland Islands",NA,1204.44823962391,2023-07-13,4,4
"Ynys Môn",NA,1387.19183427739,2025-07-17,4,2
"Saint Martin",NA,877.75357628362,2026-03-29,4,2
"San Marino","SMR",504.027197134953,2026-06-09,10,4
"Slovenia","SVN",1183.17563575228,2026-06-07,10,4
"Shetland",NA,1210.78472480171,2025-07-17,4,3
"Isle of Wight",NA,1344.82626392233,2023-07-13,4,4
"Moldova","MDA",856.810666170869,2026-06-09,10,4
"Ukraine","UKR",1296.29411818381,2026-06-07,10,4
"Kazakhstan","KAZ",967.18737401804,2026-06-09,11,4
"Tajikistan","TJK",962.397663511906,2026-06-09,7,2
"Uzbekistan","UZB",1188.92498841593,2026-06-27,9,8
"Turkmenistan","TKM",912.965645768488,2025-11-18,6,5
"Armenia","ARM",961.156144831007,2026-06-09,10,3
"Gibraltar",NA,764.191697966339,2026-06-06,10,3
"Isle of Man",NA,1393.59571200195,2025-07-18,4,5
"Macedonia","MKD",1074.76895934994,2026-06-01,10,4
"Czech Republic","CZE",1215.54797800192,2026-06-24,10,7
"Montserrat",NA,832.802728941634,2025-06-10,8,2
"Serbia","SRB",1233.42021162241,2026-06-04,10,4
"Canary Islands",NA,1387.6531804742,2007-12-29,1,1
"Bosnia and Herzegovina","BIH",1110.54763766541,2026-06-24,10,7
"Andorra","AND",706.097492272945,2026-06-07,10,5
"British Virgin Islands",NA,695.601322822606,2026-06-06,6,4
"Frøya",NA,985.459663253378,2025-07-17,3,4
"Hitra",NA,1134.92775162268,2025-07-17,3,4
"United States Virgin Islands",NA,661.74587568662,2026-03-28,2,2
"Corsica",NA,1184.51938322963,2017-05-26,1,1
"Eritrea","ERI",819.65283371039,2019-09-10,2,2
"Bahamas",NA,625.803329918268,2026-03-29,4,2
"Gotland",NA,1198.85400274799,2017-06-29,4,4
"Saare County",NA,1147.37149341752,2017-06-29,4,4
"Rhodes",NA,1423.89060454915,2011-06-27,4,2
"Micronesia",NA,1292.25289763473,2003-07-07,3,4
"Bhutan","BHU",511.350960254302,2026-06-04,6,1
"Western Sahara",NA,1345.1136949292,2013-06-28,5,2
"Orkney",NA,1176.43349161355,2025-07-17,3,4
"Monaco",NA,1357.71233405345,2017-04-29,2,1
"Tuvalu",NA,914.050252182714,2023-11-30,5,4
"Sark",NA,1387.29841106107,2003-07-03,0,4
"Mayotte",NA,1043.12309279465,2023-08-26,5,2
"Turks and Caicos Islands",NA,737.848381118305,2025-08-16,6,2
"Timor-Leste",NA,580.075762745636,2025-11-18,8,6
"Occitania",NA,1572.29180625605,2014-12-30,3,6
"Chechnya",NA,1457.21576498594,2006-02-18,2,1
"Western Isles",NA,1211.39049912087,2025-07-17,4,2
"Falkland Islands",NA,1019.77128538327,2023-07-13,4,4
"Kosovo","KVX",1147.55476340512,2026-06-07,10,4
"Republic of St. Pauli",NA,1437.3599180127,2006-06-03,0,4
"Găgăuzia",NA,1417.68631050898,2006-11-21,0,3
"Tibet",NA,1120.60195410304,2025-07-03,2,2
"Sápmi",NA,1326.83711484443,2023-07-16,5,1
"Northern Mariana Islands",NA,762.965156844375,2024-04-07,4,2
"Romani people",NA,1402.5264423526,2016-05-16,3,2
"Menorca",NA,1309.82772806695,2023-07-13,5,4
"Provence",NA,1149.66186272377,2013-06-28,4,4
"Arameans Suryoye",NA,1484.93080000887,2014-06-08,5,5
"Padania",NA,1560.03620492516,2019-06-08,6,5
"Iraqi Kurdistan",NA,1525.35671284688,2016-06-04,5,5
"Gozo",NA,1297.7672067672,2025-07-17,4,3
"Bonaire",NA,779.241735902412,2026-06-06,3,3
"Chagos Islands",NA,1329.90335639139,2019-12-29,2,3
"Sealand",NA,1440.19530368829,2014-08-10,4,5
"Kurdistan",NA,1512.00948435423,2013-06-28,2,3
"Raetia",NA,1299.62225141783,2023-08-06,3,2
"Darfur",NA,1338.63831531503,2014-06-07,3,4
"Tamil Eelam",NA,1477.24636102556,2025-07-04,3,3
"South Sudan","SSD",858.704033442065,2025-11-25,10,7
"Saint Barthélemy",NA,1223.7016579177,2023-03-10,2,2
"Abkhazia",NA,1549.25471356164,2019-06-08,6,5
"Saint Pierre and Miquelon",NA,1253.36990516606,2012-09-28,3,4
"Artsakh",NA,1489.7526139666,2019-06-08,4,5
"Madrid",NA,1462.75929343851,2013-06-07,0,1
"Quebec",NA,1497.41293033722,2013-06-27,0,3
"Saugeais",NA,1491.42255115012,2013-06-29,0,1
"Ellan Vannin",NA,1528.48019131387,2018-06-03,4,5
"Vatican City",NA,1245.82176068503,2022-04-22,1,1
"Somaliland",NA,1439.57299363981,2019-05-04,4,1
"Franconia",NA,1461.67747218836,2019-06-25,1,1
"South Ossetia",NA,1430.27392157212,2019-12-08,4,7
"County of Nice",NA,1579.90063771521,2015-06-21,5,4
"Seborga",NA,1471.96882717911,2014-08-10,0,1
"Székely Land",NA,1363.43289883868,2023-07-02,5,2
"Panjab",NA,1483.35199553028,2019-12-29,8,1
"Felvidék",NA,1475.0232390584,2017-06-09,2,4
"Luhansk PR",NA,1451.01852964383,2019-12-08,1,2
"Donetsk PR",NA,1495.92860408409,2017-08-31,2,1
"United Koreans in Japan",NA,1447.19587489579,2018-06-09,6,6
"Western Armenia",NA,1432.9824474691,2019-06-09,6,5
"Délvidék",NA,1497.9602185542,2016-08-03,0,2
"Barawa",NA,1333.69553491006,2019-05-25,9,1
"Ryūkyū",NA,1481.98465190485,2016-11-26,0,1
"Kárpátalja",NA,1535.36626882858,2018-06-09,4,6
"Yorkshire",NA,1544.53866214308,2019-06-01,5,2
"Matabeleland",NA,1447.35419181321,2022-05-25,5,3
"Cascadia",NA,1507.02937064122,2019-05-25,6,1
"Kabylia",NA,1437.39659729927,2018-06-09,0,6
"Parishes of Jersey",NA,1506.86568172071,2019-06-02,1,2
"Chameria",NA,1469.08436820464,2023-07-01,5,2
"Saint Helena",NA,1263.48229389446,2023-07-13,4,4
"West Papua",NA,1451.8062537199,2022-11-13,1,1
"Elba Island",NA,1509.64970687419,2022-07-16,0,2
"Yoruba Nation",NA,1482.84706030563,2022-05-23,0,2
"Biafra",NA,1519.98335240761,2022-05-25,0,3
"Mapuche",NA,1507.73896650263,2022-06-18,0,2
"Aymara",NA,1461.29054877573,2022-06-19,0,2
"Ticino",NA,1437.17440254885,2023-08-06,0,2
"Hmong",NA,1450.66932156216,2023-08-08,0,3
"Marshall Islands",NA,1420.62700740749,2025-08-16,0,2
"Asturias",NA,1525.44733591826,1923-02-25,0,1
"South Yemen",NA,1418.0704825954,1982-11-25,0,3
"Ambazonia",NA,1373.4005215609,2007-06-07,4,1
"Crimea",NA,1461.64273062658,2006-11-25,0,5
"Two Sicilies",NA,1312.36790290205,2023-07-02,4,2
"Cilento",NA,1481.94621241384,2011-12-29,0,1
"Surrey",NA,1519.23930402847,2018-05-06,0,1
"East Turkestan",NA,1402.78292311477,2025-07-04,2,3
"Maule Sur",NA,1530.88819418385,2022-06-19,0,2
