"date","team","fifa_code","rating","match_id","is_post_match"
1872-11-29,"South Africa","RSA",1500,"initial",FALSE
1872-11-29,"New Caledonia","NCL",1500,"initial",FALSE
1872-11-29,"Fiji","FIJ",1500,"initial",FALSE
1872-11-29,"Nigeria","NGA",1500,"initial",FALSE
1872-11-29,"Myanmar","MYA",1500,"initial",FALSE
1872-11-29,"Sri Lanka","SRI",1500,"initial",FALSE
1872-11-29,"Tahiti","TAH",1500,"initial",FALSE
1872-11-29,"Gambia","GAM",1500,"initial",FALSE
1872-11-29,"Hong Kong","HKG",1500,"initial",FALSE
1872-11-29,"Singapore","SIN",1500,"initial",FALSE
1872-11-29,"Malaysia","MAS",1500,"initial",FALSE
1872-11-29,"Indonesia","IDN",1500,"initial",FALSE
1872-11-29,"Guinea-Bissau","GNB",1500,"initial",FALSE
1872-11-29,"German DR",NA,1500,"initial",FALSE
1872-11-29,"Vanuatu","VAN",1500,"initial",FALSE
1872-11-29,"Kernow",NA,1500,"initial",FALSE
1872-11-29,"Saarland",NA,1500,"initial",FALSE
1872-11-29,"Taiwan",NA,1500,"initial",FALSE
1872-11-29,"Cambodia","CAM",1500,"initial",FALSE
1872-11-29,"Lebanon","LBN",1500,"initial",FALSE
1872-11-29,"Pakistan","PAK",1500,"initial",FALSE
1872-11-29,"Vietnam Republic",NA,1500,"initial",FALSE
1872-11-29,"Korea DPR","PRK",1500,"initial",FALSE
1872-11-29,"Togo","TOG",1500,"initial",FALSE
1872-11-29,"Sudan","SUD",1500,"initial",FALSE
1872-11-29,"Malta","MLT",1500,"initial",FALSE
1872-11-29,"Syria","SYR",1500,"initial",FALSE
1872-11-29,"Tunisia","TUN",1500,"initial",FALSE
1872-11-29,"Malawi","MWI",1500,"initial",FALSE
1872-11-29,"Morocco","MAR",1500,"initial",FALSE
1872-11-29,"Benin","BEN",1500,"initial",FALSE
1872-11-29,"Thailand","THA",1500,"initial",FALSE
1872-11-29,"Ivory Coast","CIV",1500,"initial",FALSE
1872-11-29,"Burkina Faso","BFA",1500,"initial",FALSE
1872-11-29,"Congo","CGO",1500,"initial",FALSE
1872-11-29,"Cameroon","CMR",1500,"initial",FALSE
1872-11-29,"Mali","MLI",1500,"initial",FALSE
1872-11-29,"North Vietnam",NA,1500,"initial",FALSE
1872-11-29,"Mongolia","MGL",1500,"initial",FALSE
1872-11-29,"Cyprus","CYP",1500,"initial",FALSE
1872-11-29,"Iraq","IRQ",1500,"initial",FALSE
1872-11-29,"Saint Lucia","LCA",1500,"initial",FALSE
1872-11-29,"Grenada","GRN",1500,"initial",FALSE
1872-11-29,"Senegal","SEN",1500,"initial",FALSE
1872-11-29,"Central African Republic","CAF",1500,"initial",FALSE
1872-11-29,"Chad","CHA",1500,"initial",FALSE
1872-11-29,"Libya","LBY",1500,"initial",FALSE
1872-11-29,"Gabon","GAB",1500,"initial",FALSE
1872-11-29,"Guinea","GUI",1500,"initial",FALSE
1872-11-29,"Algeria","ALG",1500,"initial",FALSE
1872-11-29,"Kuwait","KUW",1500,"initial",FALSE
1872-11-29,"Jordan","JOR",1500,"initial",FALSE
1872-11-29,"Liberia","LBR",1500,"initial",FALSE
1872-11-29,"Solomon Islands","SOL",1500,"initial",FALSE
1872-11-29,"Laos","LAO",1500,"initial",FALSE
1872-11-29,"Saint Vincent and the Grenadines","VIN",1500,"initial",FALSE
1872-11-29,"Bermuda",NA,1500,"initial",FALSE
1872-11-29,"Niger","NIG",1500,"initial",FALSE
1872-11-29,"Montenegro","MNE",1500,"initial",FALSE
1872-11-29,"Palestine","PLE",1500,"initial",FALSE
1872-11-29,"Bahrain","BHR",1500,"initial",FALSE
1872-11-29,"Papua New Guinea","PNG",1500,"initial",FALSE
1872-11-29,"Mauritania","MTN",1500,"initial",FALSE
1872-11-29,"Saudi Arabia","KSA",1500,"initial",FALSE
1872-11-29,"Eswatini","SWZ",1500,"initial",FALSE
1872-11-29,"Western Australia",NA,1500,"initial",FALSE
1872-11-29,"Somalia","SOM",1500,"initial",FALSE
1872-11-29,"Lesotho","LES",1500,"initial",FALSE
1872-11-29,"Cook Islands",NA,1500,"initial",FALSE
1872-11-29,"Qatar","QAT",1500,"initial",FALSE
1872-11-29,"Antigua and Barbuda","ATG",1500,"initial",FALSE
1872-11-29,"Faroe Islands","FRO",1500,"initial",FALSE
1872-11-29,"Bangladesh","BAN",1500,"initial",FALSE
1872-11-29,"Yemen","YEM",1500,"initial",FALSE
1872-11-29,"Oman","OMA",1500,"initial",FALSE
1872-11-29,"Yemen DPR",NA,1500,"initial",FALSE
1872-11-29,"Burundi","BDI",1500,"initial",FALSE
1872-11-29,"Mozambique","MOZ",1500,"initial",FALSE
1872-11-29,"Guam","GUM",1500,"initial",FALSE
1872-11-29,"Angola","ANG",1500,"initial",FALSE
1872-11-29,"Dominican Republic","DOM",1500,"initial",FALSE
1872-11-29,"Seychelles","SEY",1500,"initial",FALSE
1872-11-29,"Rwanda","RWA",1500,"initial",FALSE
1872-11-29,"São Tomé and Príncipe",NA,1500,"initial",FALSE
1872-11-29,"Botswana","BOT",1500,"initial",FALSE
1872-11-29,"Northern Cyprus",NA,1500,"initial",FALSE
1872-11-29,"Cape Verde","CPV",1500,"initial",FALSE
1872-11-29,"Kyrgyzstan","KGZ",1500,"initial",FALSE
1872-11-29,"Georgia","GEO",1500,"initial",FALSE
1872-11-29,"Azerbaijan","AZE",1500,"initial",FALSE
1872-11-29,"Comoros","COM",1500,"initial",FALSE
1872-11-29,"Kiribati",NA,1500,"initial",FALSE
1872-11-29,"Tonga","TGA",1500,"initial",FALSE
1872-11-29,"Wallis Islands and Futuna",NA,1500,"initial",FALSE
1872-11-29,"United Arab Emirates","UAE",1500,"initial",FALSE
1872-11-29,"Brunei",NA,1500,"initial",FALSE
1872-11-29,"Equatorial Guinea","EQG",1500,"initial",FALSE
1872-11-29,"Liechtenstein","LIE",1500,"initial",FALSE
1872-11-29,"Nepal","NEP",1500,"initial",FALSE
1872-11-29,"Greenland",NA,1500,"initial",FALSE
1872-11-29,"Niue",NA,1500,"initial",FALSE
1872-11-29,"Samoa",NA,1500,"initial",FALSE
1872-11-29,"American Samoa",NA,1500,"initial",FALSE
1872-11-29,"Belize","BLZ",1500,"initial",FALSE
1872-11-29,"Maldives","MDV",1500,"initial",FALSE
1872-11-29,"Anguilla",NA,1500,"initial",FALSE
1872-11-29,"Cayman Islands",NA,1500,"initial",FALSE
1872-11-29,"Palau",NA,1500,"initial",FALSE
1872-11-29,"Sint Maarten",NA,1500,"initial",FALSE
1872-11-29,"Namibia","NAM",1500,"initial",FALSE
1872-11-29,"Åland Islands",NA,1500,"initial",FALSE
1872-11-29,"Ynys Môn",NA,1500,"initial",FALSE
1872-11-29,"Saint Martin",NA,1500,"initial",FALSE
1872-11-29,"San Marino","SMR",1500,"initial",FALSE
1872-11-29,"Slovenia","SVN",1500,"initial",FALSE
1872-11-29,"Shetland",NA,1500,"initial",FALSE
1872-11-29,"Isle of Wight",NA,1500,"initial",FALSE
1872-11-29,"Moldova","MDA",1500,"initial",FALSE
1872-11-29,"Ukraine","UKR",1500,"initial",FALSE
1872-11-29,"Kazakhstan","KAZ",1500,"initial",FALSE
1872-11-29,"Tajikistan","TJK",1500,"initial",FALSE
1872-11-29,"Uzbekistan","UZB",1500,"initial",FALSE
1872-11-29,"Turkmenistan","TKM",1500,"initial",FALSE
1872-11-29,"Armenia","ARM",1500,"initial",FALSE
1872-11-29,"Gibraltar",NA,1500,"initial",FALSE
1872-11-29,"Isle of Man",NA,1500,"initial",FALSE
1872-11-29,"Macedonia","MKD",1500,"initial",FALSE
1872-11-29,"Czech Republic","CZE",1500,"initial",FALSE
1872-11-29,"Montserrat",NA,1500,"initial",FALSE
1872-11-29,"Serbia","SRB",1500,"initial",FALSE
1872-11-29,"Canary Islands",NA,1500,"initial",FALSE
1872-11-29,"Bosnia and Herzegovina","BIH",1500,"initial",FALSE
1872-11-29,"Andorra","AND",1500,"initial",FALSE
1872-11-29,"British Virgin Islands",NA,1500,"initial",FALSE
1872-11-29,"Frøya",NA,1500,"initial",FALSE
1872-11-29,"Hitra",NA,1500,"initial",FALSE
1872-11-29,"United States Virgin Islands",NA,1500,"initial",FALSE
1872-11-29,"Corsica",NA,1500,"initial",FALSE
1872-11-29,"Eritrea","ERI",1500,"initial",FALSE
1872-11-29,"Bahamas",NA,1500,"initial",FALSE
1872-11-29,"Gotland",NA,1500,"initial",FALSE
1872-11-29,"Saare County",NA,1500,"initial",FALSE
1872-11-29,"Rhodes",NA,1500,"initial",FALSE
1872-11-29,"Micronesia",NA,1500,"initial",FALSE
1872-11-29,"Bhutan","BHU",1500,"initial",FALSE
1872-11-29,"Western Sahara",NA,1500,"initial",FALSE
1872-11-29,"Orkney",NA,1500,"initial",FALSE
1872-11-29,"Monaco",NA,1500,"initial",FALSE
1872-11-29,"Tuvalu",NA,1500,"initial",FALSE
1872-11-29,"Sark",NA,1500,"initial",FALSE
1872-11-29,"Mayotte",NA,1500,"initial",FALSE
1872-11-29,"Turks and Caicos Islands",NA,1500,"initial",FALSE
1872-11-29,"Timor-Leste",NA,1500,"initial",FALSE
1872-11-29,"Occitania",NA,1500,"initial",FALSE
1872-11-29,"Chechnya",NA,1500,"initial",FALSE
1872-11-29,"Western Isles",NA,1500,"initial",FALSE
1872-11-29,"Falkland Islands",NA,1500,"initial",FALSE
1872-11-29,"Sápmi",NA,1500,"initial",FALSE
1872-11-29,"Kosovo","KVX",1500,"initial",FALSE
1872-11-29,"Republic of St. Pauli",NA,1500,"initial",FALSE
1872-11-29,"Găgăuzia",NA,1500,"initial",FALSE
1872-11-29,"Tibet",NA,1500,"initial",FALSE
1872-11-29,"Northern Mariana Islands",NA,1500,"initial",FALSE
1872-11-29,"Romani people",NA,1500,"initial",FALSE
1872-11-29,"Menorca",NA,1500,"initial",FALSE
1872-11-29,"Provence",NA,1500,"initial",FALSE
