"schema_version","edition_id","source_edition_id","competition_id","display_name","lifecycle_state","official_draw_date","source_reference","ruleset_version","source_bundle_id","model_release_id","output_bundle_target","active_output_bundle_id","last_accepted_output_bundle_id","blocked","blocked_refresh_batch_id","blocked_reason","blocked_at_utc","last_refresh_failure","last_refresh_failure_at_utc","registry_revision","audit_event","audit_at_utc","operator","pre_draw_note","row_sha256"
"phase13-competition-edition-v2","uefa_nations_league_2026_27","uefa-nations-league-2026-27","uefa_nations_league","UEFA Nations League 2026/27","scheduled","","https://www.uefa.com/uefanationsleague/fixtures-results/","uefa-nations-league-2026-27-v1","nl-2026-27-official-sample-v1","phase12-wc2026-incumbent-retained-v1","outputs/competition/uefa_nations_league_2026_27","nl-2026-27-official-sample-v1","nl-2026-27-official-sample-v1",FALSE,"",,,,,1,"initial_registration","2026-08-13T20:44:00Z","system","","25f7bb31d4be4f9b52df5eb4533298f73df57eb7109eb69a75e043ba612b51d9"
"phase13-competition-edition-v2","uefa_euro_2028_qualifying","uefa-euro-2028-qualifying","uefa_euro_2028_qualifying","UEFA EURO 2028 qualifying","pre_draw","2026-12-06","https://www.uefa.com/euro2028/about/","uefa-euro-2028-qualifying-v1","uefa_euro_2028_qualifying-official-v1","phase12-wc2026-incumbent-retained-v1","outputs/competition/uefa_euro_2028_qualifying","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying-official-v1",FALSE,"",,,,,1,"initial_registration","2026-08-13T20:44:00Z","system","Awaiting the official 2026-12-06 qualifying draw; no competition structures are fabricated.","1f15685332b4d6714f4c352977b28d19bfce88622ee6993df8b578d2a7ff402e"
