"schema_version","bundle_id","edition_id","bundle_status","acceptance_state","fallback_status","parser_commit_sha","artifact_count","required_resource_count","source_bundle_sha256","artifact_manifest_sha256","accepted_at_utc","last_accepted_bundle_id","fallback_source","fallback_retrieval_date","fallback_reason","operator_note","fallback_checksum","manifest_self_sha256","row_sha256","canonical_content_sha256"
"phase13-source-bundle-v1","nl-2026-27-official-sample-v1","uefa_nations_league_2026_27","accepted","accepted","official","83eaa188cbcddf70ce477f5ba369db7a3d4aab13",5,5,"868e1a5c4d14b7b9a0e2f382c8b416c88aa0e203665f326cf2c522969bdc301e","868e1a5c4d14b7b9a0e2f382c8b416c88aa0e203665f326cf2c522969bdc301e","2026-08-13T17:00:00Z","nl-2026-27-official-sample-v1",,,,,,"3cafc66c1d975963deb6dec4a8bb9704aa7ab8fdc55368c62e73b9487486529f","8997c66bf426dc04c23dbeb43c068014f7fefb5a37d6b943927a96b3f412c28d","a69782f476f0f4da95abcbe8b133adcd1c6cc09c17ed35930036fa7278017139"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","83eaa188cbcddf70ce477f5ba369db7a3d4aab13",5,5,"34044e03c934d2dce357c136bc99a85d335dae12c9efb641542dbf705f61d74e","34044e03c934d2dce357c136bc99a85d335dae12c9efb641542dbf705f61d74e","2026-08-14T15:10:13Z","uefa_euro_2028_qualifying-official-v1",,,,,,"c2414b50fbff836c90281ce9002896ce8cc9ec6162610f144c15557030a96bb8","eb781c4834fa7f281c0b93339af65f58292f122937c5fffc21f177174c99cebe","a2028d97001a3a34ba09c499b61973bbb264cda4d6a846cfb7676a25184d2577"
