"identity_map_version","source_dataset","source_version","source_input_sha256","source_artifact_id","source_identity_key","source_team_id","source_display_name","normalized_source_name","team_id","fifa_code","canonical_name","aliases","mapping_method","mapping_warning","alias_review_state","identity_map_sha256","row_sha256"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:morocco",,"Morocco","morocco","team_mar","MAR","Morocco",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","8bac5da4486503fd27c9dd2b282a9a7f11b0066d464bbb5adc08e8d9c73539e2"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:mozambique",,"Mozambique","mozambique","team_moz","MOZ","Mozambique",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","42b3594521067f976d42addaf63c1ff407884f1b0c4ebfb897c7c3e91b87cf0f"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:myanmar",,"Myanmar","myanmar","team_mya","MYA","Myanmar",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","096e4463500055b073eada30677893594926571c29d4efb45244ba565d22d59b"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:namibia",,"Namibia","namibia","team_nam","NAM","Namibia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","aeb4042c708c9df30c6c0c1a060d3d73c65cea030b524701824d2ab955744ee7"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:nepal",,"Nepal","nepal","team_nep","NEP","Nepal",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","079b7f359cb05c19a86f382ad75392f590979273dad62683f019c0c7e935201f"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:netherlands",,"Netherlands","netherlands","team_ned","NED","Netherlands",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","4d38acf1414529a1ef5897b67e530eb6b7ab91b2b1cfacc6f3b9b83eda0556e8"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:new caledonia",,"New Caledonia","new caledonia","team_ncl","NCL","New Caledonia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","2d342d193b86e23b4e0e69409142aa227723e97a1d00182833f18a1270e50f4e"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:new zealand",,"New Zealand","new zealand","team_nzl","NZL","New Zealand",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","a0c0d48fbe86faf7643e5184ac62d0e05201df7fa9ebfacbce341dd4883674ba"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:nicaragua",,"Nicaragua","nicaragua","team_nca","NCA","Nicaragua",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","1f2e98580722ae8b89052d111b01d7d819df9b2c259831a36f6e732bbc192b48"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:niger",,"Niger","niger","team_nig","NIG","Niger",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","2f9214dce33e5bc47dff3b9bc4a76db043cec1f171abfc1c34677ed4cb411ac1"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:nigeria",,"Nigeria","nigeria","team_nga","NGA","Nigeria",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","71247b276ed34f5f9680d5d5d47a040f7f124720171722d9acf268f1bb3526ad"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:niue",,"Niue","niue","team_niue","NA","Niue",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","cbd9bafeb49e066f554883b90103d76f21d70d394f44932a90c2d8597ded9900"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:north korea",,"North Korea","north korea","team_prk","PRK","Korea DPR",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","698427ba91b897dfccf367c43ca233387f9b8f5bb7d2f93799b02bf1eeb8f708"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:north macedonia",,"North Macedonia","north macedonia","team_mkd","MKD","Macedonia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","d1f4295ba8a2813988739163ecbfb378cb015db1d5d9afc9fc3dbe37a2927d50"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:north vietnam",,"North Vietnam","north vietnam","team_north_vietnam","NA","North Vietnam",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","813083a046ea0ee4622dc8692bb6164816d38d9f0a156597750e344c59bb01ba"
