"date","team","display_team","group","fifa_code","rating","match_id","is_post_match"
2026-07-03,"Cape Verde","Cape Verde","H","CPV",1169.27863478819,"Argentina_Cape Verde_2026-07-03",TRUE
2026-07-18,"Cape Verde","Cape Verde","H","CPV",1169.27863478819,"tournament_end",TRUE
2026-06-11,"Colombia","Colombia","K","COL",1426.0103443079,"tournament_start",FALSE
2026-06-17,"Colombia","Colombia","K","COL",1432.74658693295,"Uzbekistan_Colombia_2026-06-17",TRUE
2026-06-23,"Colombia","Colombia","K","COL",1437.63126871453,"Colombia_DR Congo_2026-06-23",TRUE
2026-06-27,"Colombia","Colombia","K","COL",1438.7972283467,"Colombia_Portugal_2026-06-27",TRUE
2026-07-03,"Colombia","Colombia","K","COL",1442.31157658407,"Colombia_Ghana_2026-07-03",TRUE
2026-07-07,"Colombia","Colombia","K","COL",1437.82494125871,"Switzerland_Colombia_2026-07-07",TRUE
2026-07-18,"Colombia","Colombia","K","COL",1437.82494125871,"tournament_end",TRUE
2026-06-11,"Croatia","Croatia","L","CRO",1339.23648958809,"tournament_start",FALSE
2026-06-17,"Croatia","Croatia","L","CRO",1319.42086108,"England_Croatia_2026-06-17",TRUE
2026-06-23,"Croatia","Croatia","L","CRO",1324.79403128461,"Panama_Croatia_2026-06-23",TRUE
2026-06-27,"Croatia","Croatia","L","CRO",1330.86477420708,"Croatia_Ghana_2026-06-27",TRUE
2026-07-02,"Croatia","Croatia","L","CRO",1321.60372722578,"Portugal_Croatia_2026-07-02",TRUE
2026-07-18,"Croatia","Croatia","L","CRO",1321.60372722578,"tournament_end",TRUE
2026-06-11,"Curaçao","Curacao","E","CUW",1025.46985139925,"tournament_start",FALSE
2026-06-14,"Curaçao","Curacao","E","CUW",1022.60662282659,"Germany_Curaçao_2026-06-14",TRUE
2026-06-20,"Curaçao","Curacao","E","CUW",1028.95539861059,"Ecuador_Curaçao_2026-06-20",TRUE
2026-06-25,"Curaçao","Curacao","E","CUW",1025.85884464678,"Curaçao_Ivory Coast_2026-06-25",TRUE
2026-07-18,"Curaçao","Curacao","E","CUW",1025.85884464678,"tournament_end",TRUE
2026-06-11,"Czech Republic","Czechia","A","CZE",1240.89762085914,"tournament_start",FALSE
2026-06-11,"Czech Republic","Czechia","A","CZE",1220.65054040166,"Korea Republic_Czech Republic_2026-06-11",TRUE
2026-06-18,"Czech Republic","Czechia","A","CZE",1219.9561030818,"Czech Republic_South Africa_2026-06-18",TRUE
2026-06-24,"Czech Republic","Czechia","A","CZE",1215.40634345086,"Mexico_Czech Republic_2026-06-24",TRUE
2026-07-18,"Czech Republic","Czechia","A","CZE",1215.40634345086,"tournament_end",TRUE
2026-06-11,"DR Congo","DR Congo","K","COD",1177.19386962598,"tournament_start",FALSE
2026-06-17,"DR Congo","DR Congo","K","COD",1182.00397510779,"Portugal_DR Congo_2026-06-17",TRUE
2026-06-23,"DR Congo","DR Congo","K","COD",1176.903852122,"Colombia_DR Congo_2026-06-23",TRUE
2026-06-27,"DR Congo","DR Congo","K","COD",1189.22374811822,"DR Congo_Uzbekistan_2026-06-27",TRUE
2026-07-01,"DR Congo","DR Congo","K","COD",1183.76214994411,"England_DR Congo_2026-07-01",TRUE
2026-07-18,"DR Congo","DR Congo","K","COD",1183.76214994411,"tournament_end",TRUE
2026-06-11,"Ecuador","Ecuador","E","ECU",1377.4518840477,"tournament_start",FALSE
2026-06-14,"Ecuador","Ecuador","E","ECU",1348.00088789636,"Ivory Coast_Ecuador_2026-06-14",TRUE
2026-06-20,"Ecuador","Ecuador","E","ECU",1341.45678696577,"Ecuador_Curaçao_2026-06-20",TRUE
2026-06-25,"Ecuador","Ecuador","E","ECU",1355.09425651259,"Ecuador_Germany_2026-06-25",TRUE
2026-06-30,"Ecuador","Ecuador","E","ECU",1347.44274307147,"Mexico_Ecuador_2026-06-30",TRUE
2026-07-18,"Ecuador","Ecuador","E","ECU",1347.44274307147,"tournament_end",TRUE
2026-06-11,"Egypt","Egypt","G","EGY",1261.52986863152,"tournament_start",FALSE
2026-06-15,"Egypt","Egypt","G","EGY",1263.01496053513,"Belgium_Egypt_2026-06-15",TRUE
2026-06-21,"Egypt","Egypt","G","EGY",1268.50313314898,"New Zealand_Egypt_2026-06-21",TRUE
2026-06-26,"Egypt","Egypt","G","EGY",1272.32365871322,"Egypt_Iran_2026-06-26",TRUE
2026-07-03,"Egypt","Egypt","G","EGY",1270.99296377748,"Australia_Egypt_2026-07-03",TRUE
2026-07-07,"Egypt","Egypt","G","EGY",1266.99271249347,"Argentina_Egypt_2026-07-07",TRUE
2026-07-18,"Egypt","Egypt","G","EGY",1266.99271249347,"tournament_end",TRUE
2026-06-11,"England","England","L","ENG",1405.58603304351,"tournament_start",FALSE
2026-06-17,"England","England","L","ENG",1425.08264313822,"England_Croatia_2026-06-17",TRUE
2026-06-23,"England","England","L","ENG",1418.84186294815,"England_Ghana_2026-06-23",TRUE
2026-06-27,"England","England","L","ENG",1422.18443678833,"Panama_England_2026-06-27",TRUE
2026-07-01,"England","England","L","ENG",1427.50258911885,"England_DR Congo_2026-07-01",TRUE
2026-07-05,"England","England","L","ENG",1438.04553601087,"Mexico_England_2026-07-05",TRUE
2026-07-11,"England","England","L","ENG",1443.80653030507,"Norway_England_2026-07-11",TRUE
2026-07-15,"England","England","L","ENG",1438.94058612519,"England_Argentina_2026-07-15",TRUE
2026-07-18,"England","England","L","ENG",1438.94058612519,"tournament_end",TRUE
2026-06-11,"France","France","I","FRA",1443.69695715686,"tournament_start",FALSE
2026-06-16,"France","France","I","FRA",1461.30603196805,"France_Senegal_2026-06-16",TRUE
2026-06-22,"France","France","I","FRA",1466.10981250253,"France_Iraq_2026-06-22",TRUE
2026-06-26,"France","France","I","FRA",1470.9494233299,"Norway_France_2026-06-26",TRUE
2026-06-30,"France","France","I","FRA",1476.85118460633,"France_Sweden_2026-06-30",TRUE
2026-07-04,"France","France","I","FRA",1480.24181824712,"Paraguay_France_2026-07-04",TRUE
2026-07-09,"France","France","I","FRA",1489.33668659601,"France_Morocco_2026-07-09",TRUE
2026-07-14,"France","France","I","FRA",1481.35522878153,"France_Spain_2026-07-14",TRUE
2026-07-18,"France","France","I","FRA",1481.35522878153,"tournament_end",TRUE
2026-06-11,"Germany","Germany","E","GER",1404.45211292776,"tournament_start",FALSE
2026-06-14,"Germany","Germany","E","GER",1409.79896799989,"Germany_Curaçao_2026-06-14",TRUE
2026-06-20,"Germany","Germany","E","GER",1417.60616118107,"Germany_Ivory Coast_2026-06-20",TRUE
2026-06-25,"Germany","Germany","E","GER",1403.77924720115,"Ecuador_Germany_2026-06-25",TRUE
2026-06-29,"Germany","Germany","E","GER",1401.4343812204,"Germany_Paraguay_2026-06-29",TRUE
2026-07-18,"Germany","Germany","E","GER",1401.4343812204,"tournament_end",TRUE
2026-06-11,"Ghana","Ghana","L","GHA",1087.36563872063,"tournament_start",FALSE
2026-06-17,"Ghana","Ghana","L","GHA",1117.45720162651,"Ghana_Panama_2026-06-17",TRUE
2026-06-23,"Ghana","Ghana","L","GHA",1123.48849038217,"England_Ghana_2026-06-23",TRUE
2026-06-27,"Ghana","Ghana","L","GHA",1117.28326218324,"Croatia_Ghana_2026-06-27",TRUE
2026-07-03,"Ghana","Ghana","L","GHA",1113.558306836,"Colombia_Ghana_2026-07-03",TRUE
2026-07-18,"Ghana","Ghana","L","GHA",1113.558306836,"tournament_end",TRUE
2026-06-11,"Haiti","Haiti","C","HAI",1144.65460442624,"tournament_start",FALSE
