"round","match_id","slot1_label","slot2_label","slot1_team","slot1_display","slot1_probability","slot1_advancement_probability","slot1_regulation_win_probability","slot1_extra_time_penalty_probability","slot1_tiebreak_probability","slot1_source_match_id","slot2_team","slot2_display","slot2_probability","slot2_advancement_probability","slot2_regulation_win_probability","slot2_extra_time_penalty_probability","slot2_tiebreak_probability","slot2_source_match_id","draw_after_regulation_probability","projected_winner_team","projected_winner","projected_winner_match_probability","projected_winner_regulation_probability","projected_winner_extra_time_penalty_probability","projected_winner_tiebreak_probability","projected_winner_route_label","slot1_expected_goals","slot2_expected_goals","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","both_teams_to_score_probability","top_scorelines_label","projected_winner_stage_probability","projected_winner_title_probability","next_match_id","projected_winner_continues","projected_champion_path","prematch_slot1_probability","prematch_slot1_advancement_probability","prematch_slot1_regulation_win_probability","prematch_slot1_extra_time_penalty_probability","prematch_slot1_tiebreak_probability","prematch_slot2_probability","prematch_slot2_advancement_probability","prematch_slot2_regulation_win_probability","prematch_slot2_extra_time_penalty_probability","prematch_slot2_tiebreak_probability","prematch_draw_after_regulation_probability","prematch_projected_winner_team","prematch_projected_winner","prematch_projected_winner_match_probability","prematch_projected_winner_regulation_probability","prematch_projected_winner_extra_time_penalty_probability","prematch_projected_winner_tiebreak_probability","prematch_projected_winner_route_label","prematch_slot1_expected_goals","prematch_slot2_expected_goals","prematch_most_likely_score","prematch_most_likely_score_probability","prematch_rounded_expected_score","prematch_over_2_5_probability","prematch_both_teams_to_score_probability","prematch_top_scorelines_label","prematch_generated_at","prematch_feature_cutoff_date","prematch_actual_results_cutoff_date","prematch_forecast_source","prematch_forecast_available"
"Round of 32","M83","Winner Group B","Best 3rd E/F/G/I/J","Switzerland","Switzerland",1,0.486080020304258,0.37376844451069,0.112311575793568,0.444400907077217,NA,"Iran","Iran",0.21098,0.513919979695742,0.373505753167639,0.140414226528103,0.555599092922783,NA,0.252725802321671,"Iran","Iran",0.513919979695742,0.373505753167639,0.140414226528103,0.555599092922783,"90' win 37.4% + (90' draw 25.3% x ET/pens share 55.6% = 14.0%)",1.32396591788344,1.33512884509194,"1-1",0.105851165482833,"1-1",0.478533891969836,0.484229922370377,"1-1 10.6% | 1-0 10.1% | 0-1 9.7% | 0-0 9.2% | 2-1 6.7%",0.29823,0.00606,"M91",TRUE,FALSE,1,0.486080020304258,0.37376844451069,0.112311575793568,0.444400907077217,0.21098,0.513919979695742,0.373505753167639,0.140414226528103,0.555599092922783,0.252725802321671,"Iran","Iran",0.513919979695742,0.373505753167639,0.140414226528103,0.555599092922783,"90' win 37.4% + (90' draw 25.3% x ET/pens share 55.6% = 14.0%)",1.32396591788344,1.33512884509194,"1-1",0.105851165482833,"1-1",0.478533891969836,0.484229922370377,"1-1 10.6% | 1-0 10.1% | 0-1 9.7% | 0-0 9.2% | 2-1 6.7%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 32","M84","Winner Group J","Runner-up Group H","Argentina","Argentina",1,0.889746018438361,0.74824612317241,0.141499895265951,0.903805051653304,NA,"Cape Verde","Cape Verde",0.58777,0.110253981561639,0.0951936816758704,0.0150602998857683,0.0961949483466963,NA,0.156560195151719,"Argentina","Argentina",0.889746018438361,0.74824612317241,0.141499895265951,0.903805051653304,"90' win 74.8% + (90' draw 15.7% x ET/pens share 90.4% = 14.1%)",2.61208647315023,0.673066678164241,"2-0",0.11768678580009,"3-1",0.599057979677531,0.415299559080113,"2-0 11.8% | 1-0 11.0% | 3-0 9.6% | 2-1 7.0% | 4-0 6.6%",0.84275,0.18846,"M92",TRUE,TRUE,1,0.889746018438361,0.74824612317241,0.141499895265951,0.903805051653304,0.58777,0.110253981561639,0.0951936816758704,0.0150602998857683,0.0961949483466963,0.156560195151719,"Argentina","Argentina",0.889746018438361,0.74824612317241,0.141499895265951,0.903805051653304,"90' win 74.8% + (90' draw 15.7% x ET/pens share 90.4% = 14.1%)",2.61208647315023,0.673066678164241,"2-0",0.11768678580009,"3-1",0.599057979677531,0.415299559080113,"2-0 11.8% | 1-0 11.0% | 3-0 9.6% | 2-1 7.0% | 4-0 6.6%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 32","M85","Winner Group K","Best 3rd A/B/D/E/I","Colombia","Colombia",0.56343,0.721321938604341,0.55662077560581,0.164701162998531,0.724692660212314,NA,"Paraguay","Paraguay",0.4181,0.27867806139566,0.216108862706964,0.0625691986886955,0.275307339787686,NA,0.227270361687226,"Colombia","Colombia",0.721321938604341,0.55662077560581,0.164701162998531,0.724692660212314,"90' win 55.7% + (90' draw 22.7% x ET/pens share 72.5% = 16.5%)",1.82532723590994,0.967700755432907,"1-0",0.117545579288638,"2-1",0.507006135303139,0.468120702968086,"1-0 11.8% | 2-0 9.6% | 1-1 9.5% | 0-0 8.4% | 2-1 7.8%",0.65357,0.04047,"M93",TRUE,FALSE,0.56343,0.721321938604341,0.55662077560581,0.164701162998531,0.724692660212314,0.4181,0.27867806139566,0.216108862706964,0.0625691986886955,0.275307339787686,0.227270361687226,"Colombia","Colombia",0.721321938604341,0.55662077560581,0.164701162998531,0.724692660212314,"90' win 55.7% + (90' draw 22.7% x ET/pens share 72.5% = 16.5%)",1.82532723590994,0.967700755432907,"1-0",0.117545579288638,"2-1",0.507006135303139,0.468120702968086,"1-0 11.8% | 2-0 9.6% | 1-1 9.5% | 0-0 8.4% | 2-1 7.8%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 32","M86","Winner Group L","Best 3rd C/D/E/F/H","England","England",0.72628,0.663717518479125,0.529175725879898,0.134541792599227,0.575083180500524,NA,"Uruguay","Uruguay",0.18653,0.336282481520875,0.236872391746967,0.0994100897739082,0.424916819499476,NA,0.233951882373135,"England","England",0.663717518479125,0.529175725879898,0.134541792599227,0.575083180500524,"90' win 52.9% + (90' draw 23.4% x ET/pens share 57.5% = 13.5%)",1.74056585306332,1.01533523728127,"1-0",0.116287246696715,"2-1",0.49938035456278,0.472641357911453,"1-0 11.6% | 1-1 9.8% | 2-0 9.2% | 0-0 8.6% | 2-1 7.7%",0.87452,0.08954,"M94",TRUE,FALSE,0.72628,0.663717518479125,0.529175725879898,0.134541792599227,0.575083180500524,0.18653,0.336282481520875,0.236872391746967,0.0994100897739082,0.424916819499476,0.233951882373135,"England","England",0.663717518479125,0.529175725879898,0.134541792599227,0.575083180500524,"90' win 52.9% + (90' draw 23.4% x ET/pens share 57.5% = 13.5%)",1.74056585306332,1.01533523728127,"1-0",0.116287246696715,"2-1",0.49938035456278,0.472641357911453,"1-0 11.6% | 1-1 9.8% | 2-0 9.2% | 0-0 8.6% | 2-1 7.7%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 32","M87","Runner-up Group D","Runner-up Group E","Australia","Australia",0.71674,0.495340522515266,0.363845673160411,0.131494849354855,0.520297579636283,NA,"Ivory Coast","Cote d'Ivoire",0.83976,0.504659477484733,0.383424246013963,0.12123523147077,0.479702420363717,NA,0.252730080825625,"Ivory Coast","Cote d'Ivoire",0.504659477484733,0.383424246013963,0.12123523147077,0.479702420363717,"90' win 38.3% + (90' draw 25.3% x ET/pens share 48.0% = 12.1%)",1.29956881223619,1.35919321683821,"1-1",0.105840276820144,"1-1",0.478386541872828,0.483965211406907,"1-1 10.6% | 1-0 9.9% | 0-1 9.9% | 0-0 9.3% | 1-2 6.8%",0.49576,0.0121,"M95",FALSE,FALSE,0.71674,0.495340522515266,0.363845673160411,0.131494849354855,0.520297579636283,0.83976,0.504659477484733,0.383424246013963,0.12123523147077,0.479702420363717,0.252730080825625,"Ivory Coast","Cote d'Ivoire",0.504659477484733,0.383424246013963,0.12123523147077,0.479702420363717,"90' win 38.3% + (90' draw 25.3% x ET/pens share 48.0% = 12.1%)",1.29956881223619,1.35919321683821,"1-1",0.105840276820144,"1-1",0.478386541872828,0.483965211406907,"1-1 10.6% | 1-0 9.9% | 0-1 9.9% | 0-0 9.3% | 1-2 6.8%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 32","M88","Runner-up Group F","Runner-up Group G","Japan","Japan",0.81035,0.524893145342327,0.397884926602805,0.127008218739523,0.503717041225012,NA,"Belgium","Belgium",0.70552,0.475106854657674,0.349973080284067,0.125133774373606,0.496282958774988,NA,0.252141993113129,"Japan","Japan",0.524893145342327,0.397884926602805,0.127008218739523,0.503717041225012,"90' win 39.8% + (90' draw 25.2% x ET/pens share 50.4% = 12.7%)",1.38349181905663,1.27822436113871,"1-1",0.105621899522404,"1-1",0.479244674578664,0.484113230323963,"1-1 10.6% | 1-0 10.4% | 0-1 9.4% | 0-0 9.2% | 2-1 6.9%",0.5294,0.02988,"M96",FALSE,FALSE,0.81035,0.524893145342327,0.397884926602805,0.127008218739523,0.503717041225012,0.70552,0.475106854657674,0.349973080284067,0.125133774373606,0.496282958774988,0.252141993113129,"Japan","Japan",0.524893145342327,0.397884926602805,0.127008218739523,0.503717041225012,"90' win 39.8% + (90' draw 25.2% x ET/pens share 50.4% = 12.7%)",1.38349181905663,1.27822436113871,"1-1",0.105621899522404,"1-1",0.479244674578664,0.484113230323963,"1-1 10.6% | 1-0 10.4% | 0-1 9.4% | 0-0 9.2% | 2-1 6.9%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M89","Winner M73","Winner M81","Germany","Germany",0.76754,0.592828992830731,0.456167884298783,0.136661108531949,0.553110337371061,"M73","Mexico","Mexico",0.67368,0.407171007169269,0.296754635317285,0.110416371851984,0.446889662628939,"M81",0.247077480383932,"Germany","Germany",0.592828992830731,0.456167884298783,0.136661108531949,0.553110337371061,"90' win 45.6% + (90' draw 24.7% x ET/pens share 55.3% = 13.7%)",1.53356816076073,1.15272233473629,"1-0",0.110705320611862,"2-1",0.484703779493442,0.481041078817375,"1-0 11.1% | 1-1 10.4% | 0-0 9.0% | 0-1 8.4% | 2-0 7.9%",0.48858,0.07196,"M97",TRUE,FALSE,0.76754,0.592828992830731,0.456167884298783,0.136661108531949,0.553110337371061,0.67368,0.407171007169269,0.296754635317285,0.110416371851984,0.446889662628939,0.247077480383932,"Germany","Germany",0.592828992830731,0.456167884298783,0.136661108531949,0.553110337371061,"90' win 45.6% + (90' draw 24.7% x ET/pens share 55.3% = 13.7%)",1.53356816076073,1.15272233473629,"1-0",0.110705320611862,"2-1",0.484703779493442,0.481041078817375,"1-0 11.1% | 1-1 10.4% | 0-0 9.0% | 0-1 8.4% | 2-0 7.9%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M90","Winner M74","Winner M82","France","France",0.52237,0.495895335462005,0.380953694057359,0.114941641404646,0.454819696596026,"M74","Brazil","Brazil",0.77105,0.504104664537996,0.366327168524242,0.137777496013753,0.545180303403974,"M82",0.252719137418399,"Brazil","Brazil",0.504104664537996,0.366327168524242,0.137777496013753,0.545180303403974,"90' win 36.6% + (90' draw 25.3% x ET/pens share 54.5% = 13.8%)",1.34111580557232,1.31720174731568,"1-1",0.105847399864395,"1-1",0.47840980856484,0.484085673685448,"1-1 10.6% | 1-0 10.2% | 0-1 9.6% | 0-0 9.2% | 2-1 6.8%",0.45102,0.08236,"M98",TRUE,FALSE,0.52237,0.495895335462005,0.380953694057359,0.114941641404646,0.454819696596026,0.77105,0.504104664537996,0.366327168524242,0.137777496013753,0.545180303403974,0.252719137418399,"Brazil","Brazil",0.504104664537996,0.366327168524242,0.137777496013753,0.545180303403974,"90' win 36.6% + (90' draw 25.3% x ET/pens share 54.5% = 13.8%)",1.34111580557232,1.31720174731568,"1-1",0.105847399864395,"1-1",0.47840980856484,0.484085673685448,"1-1 10.6% | 1-0 10.2% | 0-1 9.6% | 0-0 9.2% | 2-1 6.8%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M91","Winner M75","Winner M83","Canada","Canada",0.67081,0.474137252555868,0.374265718546132,0.0998715340097358,0.395226730624199,"M75","Iran","Iran",0.29823,0.525862747444132,0.373040001762805,0.152822745681327,0.6047732693758,"M83",0.252694279691063,"Iran","Iran",0.525862747444132,0.373040001762805,0.152822745681327,0.6047732693758,"90' win 37.3% + (90' draw 25.3% x ET/pens share 60.5% = 15.3%)",1.32536846461993,1.33418166169922,"1-1",0.105841060252446,"1-1",0.478637387630878,0.48431098731186,"1-1 10.6% | 1-0 10.1% | 0-1 9.7% | 0-0 9.2% | 2-1 6.7%",0.12068,0.00606,"M99",FALSE,FALSE,0.67081,0.474137252555868,0.374265718546132,0.0998715340097358,0.395226730624199,0.29823,0.525862747444132,0.373040001762805,0.152822745681327,0.6047732693758,0.252694279691063,"Iran","Iran",0.525862747444132,0.373040001762805,0.152822745681327,0.6047732693758,"90' win 37.3% + (90' draw 25.3% x ET/pens share 60.5% = 15.3%)",1.32536846461993,1.33418166169922,"1-1",0.105841060252446,"1-1",0.478637387630878,0.48431098731186,"1-1 10.6% | 1-0 10.1% | 0-1 9.7% | 0-0 9.2% | 2-1 6.7%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M92","Winner M76","Winner M84","Morocco","Morocco",0.53995,0.332154703408038,0.266552816421243,0.0656018869867957,0.270918735469261,"M76","Argentina","Argentina",0.84275,0.667845296591961,0.491301187757663,0.176544108834298,0.729081264530739,"M84",0.242145995821094,"Argentina","Argentina",0.667845296591961,0.491301187757663,0.176544108834298,0.729081264530739,"90' win 49.1% + (90' draw 24.2% x ET/pens share 72.9% = 17.7%)",1.0729962882079,1.6463701162417,"0-1",0.110945979462269,"1-2",0.490130689216603,0.476420074574739,"0-1 11.1% | 1-1 10.1% | 0-0 9.0% | 0-2 8.2% | 1-0 8.2%",0.57457,0.18846,"M100",TRUE,TRUE,0.53995,0.332154703408038,0.266552816421243,0.0656018869867957,0.270918735469261,0.84275,0.667845296591961,0.491301187757663,0.176544108834298,0.729081264530739,0.242145995821094,"Argentina","Argentina",0.667845296591961,0.491301187757663,0.176544108834298,0.729081264530739,"90' win 49.1% + (90' draw 24.2% x ET/pens share 72.9% = 17.7%)",1.0729962882079,1.6463701162417,"0-1",0.110945979462269,"1-2",0.490130689216603,0.476420074574739,"0-1 11.1% | 1-1 10.1% | 0-0 9.0% | 0-2 8.2% | 1-0 8.2%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M93","Winner M77","Winner M85","Senegal","Senegal",0.29355,0.442258549949093,0.345159169512073,0.0970993804370206,0.385096530391156,"M77","Colombia","Colombia",0.65357,0.557741450050907,0.402697866908398,0.155043583142509,0.614903469608844,"M85",0.25214296357953,"Colombia","Colombia",0.557741450050907,0.402697866908398,0.155043583142509,0.614903469608844,"90' win 40.3% + (90' draw 25.2% x ET/pens share 61.5% = 15.5%)",1.2549707760444,1.40754494259592,"1-1",0.10557878625256,"1-1",0.47903913076885,0.483479529337057,"1-1 10.6% | 0-1 10.1% | 1-0 9.6% | 0-0 9.3% | 1-2 7.0%",0.37896,0.04047,"M97",FALSE,FALSE,0.29355,0.442258549949093,0.345159169512073,0.0970993804370206,0.385096530391156,0.65357,0.557741450050907,0.402697866908398,0.155043583142509,0.614903469608844,0.25214296357953,"Colombia","Colombia",0.557741450050907,0.402697866908398,0.155043583142509,0.614903469608844,"90' win 40.3% + (90' draw 25.2% x ET/pens share 61.5% = 15.5%)",1.2549707760444,1.40754494259592,"1-1",0.10557878625256,"1-1",0.47903913076885,0.483479529337057,"1-1 10.6% | 0-1 10.1% | 1-0 9.6% | 0-0 9.3% | 1-2 7.0%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M94","Winner M78","Winner M86","Austria","Austria",0.37231,0.326208573773835,0.238497537321311,0.0877110364525244,0.373452616998914,"M78","England","England",0.87452,0.673791426226165,0.526637228215011,0.147154198011154,0.626547383001086,"M86",0.234865234463679,"England","England",0.673791426226165,0.526637228215011,0.147154198011154,0.626547383001086,"90' win 52.7% + (90' draw 23.5% x ET/pens share 62.7% = 14.7%)",1.0108329670555,1.75375309310057,"0-1",0.113195381507833,"1-2",0.499069144022579,0.472328697013713,"0-1 11.3% | 1-1 9.8% | 0-2 8.8% | 0-0 8.7% | 1-2 7.6%",0.58506,0.08954,"M98",FALSE,FALSE,0.37231,0.326208573773835,0.238497537321311,0.0877110364525244,0.373452616998914,0.87452,0.673791426226165,0.526637228215011,0.147154198011154,0.626547383001086,0.234865234463679,"England","England",0.673791426226165,0.526637228215011,0.147154198011154,0.626547383001086,"90' win 52.7% + (90' draw 23.5% x ET/pens share 62.7% = 14.7%)",1.0108329670555,1.75375309310057,"0-1",0.113195381507833,"1-2",0.499069144022579,0.472328697013713,"0-1 11.3% | 1-1 9.8% | 0-2 8.8% | 0-0 8.7% | 1-2 7.6%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M95","Winner M79","Winner M87","Spain","Spain",0.65492,0.727643912391397,0.54771404593237,0.179929866459027,0.78436957242687,"M79","Ivory Coast","Cote d'Ivoire",0.49576,0.272356087608603,0.222891708313913,0.0494643792946897,0.215630427573131,"M87",0.229394245753717,"Spain","Spain",0.727643912391397,0.54771404593237,0.179929866459027,0.78436957242687,"90' win 54.8% + (90' draw 22.9% x ET/pens share 78.4% = 18.0%)",1.79872504724315,0.984307411144943,"1-0",0.117001887381757,"2-1",0.504986853711344,0.470166041840146,"1-0 11.7% | 1-1 9.6% | 2-0 9.5% | 0-0 8.4% | 2-1 7.8%",0.47036,0.12021,"M99",TRUE,FALSE,0.65492,0.727643912391397,0.54771404593237,0.179929866459027,0.78436957242687,0.49576,0.272356087608603,0.222891708313913,0.0494643792946897,0.215630427573131,0.229394245753717,"Spain","Spain",0.727643912391397,0.54771404593237,0.179929866459027,0.78436957242687,"90' win 54.8% + (90' draw 22.9% x ET/pens share 78.4% = 18.0%)",1.79872504724315,0.984307411144943,"1-0",0.117001887381757,"2-1",0.504986853711344,0.470166041840146,"1-0 11.7% | 1-1 9.6% | 2-0 9.5% | 0-0 8.4% | 2-1 7.8%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Round of 16","M96","Winner M80","Winner M88","Portugal","Portugal",0.69915,0.548198848346335,0.406636755405342,0.141562092940993,0.562408915861181,"M80","Japan","Japan",0.5294,0.451801151653665,0.341656543387356,0.110144608266309,0.437591084138819,"M88",0.251706701207301,"Portugal","Portugal",0.548198848346335,0.406636755405342,0.141562092940993,0.562408915861181,"90' win 40.7% + (90' draw 25.2% x ET/pens share 56.2% = 14.2%)",1.40540059581721,1.25833242728855,"1-1",0.105442601730678,"1-1",0.479721139047061,0.483889160394331,"1-1 10.5% | 1-0 10.5% | 0-1 9.2% | 0-0 9.2% | 2-1 7.0%",0.43889,0.06625,"M100",FALSE,FALSE,0.69915,0.548198848346335,0.406636755405342,0.141562092940993,0.562408915861181,0.5294,0.451801151653665,0.341656543387356,0.110144608266309,0.437591084138819,0.251706701207301,"Portugal","Portugal",0.548198848346335,0.406636755405342,0.141562092940993,0.562408915861181,"90' win 40.7% + (90' draw 25.2% x ET/pens share 56.2% = 14.2%)",1.40540059581721,1.25833242728855,"1-1",0.105442601730678,"1-1",0.479721139047061,0.483889160394331,"1-1 10.5% | 1-0 10.5% | 0-1 9.2% | 0-0 9.2% | 2-1 7.0%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Quarter-finals","M97","Winner M89","Winner M93","Germany","Germany",0.48858,0.531925438283289,0.414033272539649,0.11789216574364,0.469093169352015,"M89","Colombia","Colombia",0.37896,0.468074561716711,0.33464743004553,0.13342713167118,0.530906830647985,"M93",0.25131929741482,"Germany","Germany",0.531925438283289,0.414033272539649,0.11789216574364,0.469093169352015,"90' win 41.4% + (90' draw 25.1% x ET/pens share 46.9% = 11.8%)",1.4235651418744,1.24118364919816,"1-0",0.106089113005219,"1-1",0.479965991428553,0.48343211041559,"1-0 10.6% | 1-1 10.5% | 0-0 9.2% | 0-1 9.1% | 2-0 7.1%",0.28426,0.07196,"M101",FALSE,FALSE,0.48858,0.531925438283289,0.414033272539649,0.11789216574364,0.469093169352015,0.37896,0.468074561716711,0.33464743004553,0.13342713167118,0.530906830647985,0.25131929741482,"Germany","Germany",0.531925438283289,0.414033272539649,0.11789216574364,0.469093169352015,"90' win 41.4% + (90' draw 25.1% x ET/pens share 46.9% = 11.8%)",1.4235651418744,1.24118364919816,"1-0",0.106089113005219,"1-1",0.479965991428553,0.48343211041559,"1-0 10.6% | 1-1 10.5% | 0-0 9.2% | 0-1 9.1% | 2-0 7.1%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Quarter-finals","M98","Winner M90","Winner M94","Brazil","Brazil",0.45102,0.519665925676858,0.368308111788467,0.151357813888392,0.598802743444581,"M90","England","England",0.58506,0.480334074323142,0.378924486015421,0.10140958830772,0.401197256555419,"M94",0.252767402196112,"Brazil","Brazil",0.519665925676858,0.368308111788467,0.151357813888392,0.598802743444581,"90' win 36.8% + (90' draw 25.3% x ET/pens share 59.9% = 15.1%)",1.31039576757538,1.34812429388303,"1-1",0.105860059291981,"1-1",0.478368144853912,0.484050169350603,"1-1 10.6% | 1-0 10.0% | 0-1 9.8% | 0-0 9.3% | 1-2 6.7%",0.27501,0.08236,"M102",FALSE,FALSE,0.45102,0.519665925676858,0.368308111788467,0.151357813888392,0.598802743444581,0.58506,0.480334074323142,0.378924486015421,0.10140958830772,0.401197256555419,0.252767402196112,"Brazil","Brazil",0.519665925676858,0.368308111788467,0.151357813888392,0.598802743444581,"90' win 36.8% + (90' draw 25.3% x ET/pens share 59.9% = 15.1%)",1.31039576757538,1.34812429388303,"1-1",0.105860059291981,"1-1",0.478368144853912,0.484050169350603,"1-1 10.6% | 1-0 10.0% | 0-1 9.8% | 0-0 9.3% | 1-2 6.7%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Quarter-finals","M99","Winner M91","Winner M95","Iran","Iran",0.12068,0.288025308298165,0.213427521282787,0.0745977870153784,0.329079206469045,"M91","Spain","Spain",0.47036,0.711974691701835,0.559886059311387,0.152088632390448,0.670920793530955,"M95",0.226686419405826,"Spain","Spain",0.711974691701835,0.559886059311387,0.152088632390448,0.670920793530955,"90' win 56.0% + (90' draw 22.7% x ET/pens share 67.1% = 15.2%)",0.954490143170827,1.86069835741266,"0-1",0.114715381768895,"1-2",0.508907960041487,0.467083715217495,"0-1 11.5% | 1-1 9.5% | 0-2 9.3% | 0-0 8.5% | 1-2 7.7%",0.34263,0.12021,"M101",TRUE,FALSE,0.12068,0.288025308298165,0.213427521282787,0.0745977870153784,0.329079206469045,0.47036,0.711974691701835,0.559886059311387,0.152088632390448,0.670920793530955,0.226686419405826,"Spain","Spain",0.711974691701835,0.559886059311387,0.152088632390448,0.670920793530955,"90' win 56.0% + (90' draw 22.7% x ET/pens share 67.1% = 15.2%)",0.954490143170827,1.86069835741266,"0-1",0.114715381768895,"1-2",0.508907960041487,0.467083715217495,"0-1 11.5% | 1-1 9.5% | 0-2 9.3% | 0-0 8.5% | 1-2 7.7%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Quarter-finals","M100","Winner M92","Winner M96","Argentina","Argentina",0.57457,0.650428758245615,0.48743204003142,0.162996718214195,0.672490501155735,"M92","Portugal","Portugal",0.43889,0.349571241754384,0.270190234284617,0.0793810074697673,0.327509498844265,"M96",0.242377725683962,"Argentina","Argentina",0.650428758245615,0.48743204003142,0.162996718214195,0.672490501155735,"90' win 48.7% + (90' draw 24.2% x ET/pens share 67.2% = 16.3%)",1.61879009913806,1.09116848633388,"1-0",0.113552118075081,"2-1",0.489757534002562,0.477896560669074,"1-0 11.4% | 1-1 10.2% | 0-0 8.9% | 2-0 8.5% | 0-1 7.9%",0.40256,0.18846,"M102",TRUE,TRUE,0.57457,0.650428758245615,0.48743204003142,0.162996718214195,0.672490501155735,0.43889,0.349571241754384,0.270190234284617,0.0793810074697673,0.327509498844265,0.242377725683962,"Argentina","Argentina",0.650428758245615,0.48743204003142,0.162996718214195,0.672490501155735,"90' win 48.7% + (90' draw 24.2% x ET/pens share 67.2% = 16.3%)",1.61879009913806,1.09116848633388,"1-0",0.113552118075081,"2-1",0.489757534002562,0.477896560669074,"1-0 11.4% | 1-1 10.2% | 0-0 8.9% | 2-0 8.5% | 0-1 7.9%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Semi-finals","M101","Winner M97","Winner M99","Germany","Germany",0.28426,0.407213192086414,0.311373540197857,0.0958396518885564,0.384301414087058,"M97","Spain","Spain",0.34263,0.592786807913586,0.439239784719949,0.153547023193637,0.615698585912942,"M99",0.249386675082193,"Spain","Spain",0.592786807913586,0.439239784719949,0.153547023193637,0.615698585912942,"90' win 43.9% + (90' draw 24.9% x ET/pens share 61.6% = 15.4%)",1.17605526434493,1.50261028914229,"0-1",0.105829509423833,"1-2",0.48214645778702,0.481585169189786,"0-1 10.6% | 1-1 10.4% | 0-0 9.2% | 1-0 9.1% | 0-2 7.3%",0.21651,0.12021,"M104",FALSE,FALSE,0.28426,0.407213192086414,0.311373540197857,0.0958396518885564,0.384301414087058,0.34263,0.592786807913586,0.439239784719949,0.153547023193637,0.615698585912942,0.249386675082193,"Spain","Spain",0.592786807913586,0.439239784719949,0.153547023193637,0.615698585912942,"90' win 43.9% + (90' draw 24.9% x ET/pens share 61.6% = 15.4%)",1.17605526434493,1.50261028914229,"0-1",0.105829509423833,"1-2",0.48214645778702,0.481585169189786,"0-1 10.6% | 1-1 10.4% | 0-0 9.2% | 1-0 9.1% | 0-2 7.3%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
"Semi-finals","M102","Winner M98","Winner M100","Brazil","Brazil",0.27501,0.383890453324957,0.287061931398377,0.0968285219265806,0.393623387368144,"M98","Argentina","Argentina",0.40256,0.616109546675043,0.466945261685352,0.149164284989691,0.606376612631856,"M100",0.245992806916271,"Argentina","Argentina",0.616109546675043,0.466945261685352,0.149164284989691,0.606376612631856,"90' win 46.7% + (90' draw 24.6% x ET/pens share 60.6% = 14.9%)",1.12004758280836,1.57779135483392,"0-1",0.108727150726168,"1-2",0.485905329000927,0.479206366623275,"0-1 10.9% | 1-1 10.3% | 0-0 9.1% | 1-0 8.6% | 0-2 7.8%",0.26562,0.18846,"M104",TRUE,TRUE,0.27501,0.383890453324957,0.287061931398377,0.0968285219265806,0.393623387368144,0.40256,0.616109546675043,0.466945261685352,0.149164284989691,0.606376612631856,0.245992806916271,"Argentina","Argentina",0.616109546675043,0.466945261685352,0.149164284989691,0.606376612631856,"90' win 46.7% + (90' draw 24.6% x ET/pens share 60.6% = 14.9%)",1.12004758280836,1.57779135483392,"0-1",0.108727150726168,"1-2",0.485905329000927,0.479206366623275,"0-1 10.9% | 1-1 10.3% | 0-0 9.1% | 1-0 8.6% | 0-2 7.8%","2026-06-25 22:53:23.553916","2026-06-24","2026-06-25","dashboard_bracket_archive",TRUE
