"match_id","date","group","home_team","away_team","home_display","away_display","prematch_home_goals_expected","prematch_away_goals_expected","prematch_win_probability","prematch_draw_probability","prematch_loss_probability","prematch_predicted_outcome","prematch_most_likely_score","prematch_most_likely_score_probability","prematch_rounded_expected_score","prematch_over_2_5_probability","prematch_under_2_5_probability","prematch_both_teams_to_score_probability","prematch_generated_at","prematch_feature_cutoff_date","prematch_actual_results_cutoff_date","prematch_forecast_source"
"GI04","2026-06-22","I","France","Iraq","France","Iraq",2.1017,0.8455,0.6348,0.2029,0.1623,"home_win","1-0",0.1176,"2-1",0.5376,0.4624,0.453,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GI05","2026-06-26","I","Norway","France","Norway","France",1.1113,1.5933,0.2828,0.2451,0.4721,"away_win","0-1",0.1091,"1-2",0.4873,0.5127,0.4791,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GI06","2026-06-26","I","Senegal","Iraq","Senegal","Iraq",1.8751,0.9429,0.5718,0.2231,0.2051,"home_win","1-0",0.1179,"2-1",0.5121,0.4879,0.4656,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GJ03","2026-06-22","J","Argentina","Austria","Argentina","Austria",1.9506,0.9068,0.5941,0.2165,0.1893,"home_win","1-0",0.1182,"2-1",0.52,0.48,0.4613,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GJ04","2026-06-22","J","Jordan","Algeria","Jordan","Algeria",0.9632,1.8325,0.2185,0.229,0.5525,"away_win","0-1",0.1149,"1-2",0.505,0.495,0.467,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GJ05","2026-06-27","J","Algeria","Austria","Algeria","Austria",1.4192,1.2447,0.4124,0.2514,0.3362,"home_win","1-0",0.1059,"1-1",0.4798,0.5202,0.4834,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GJ06","2026-06-27","J","Jordan","Argentina","Jordan","Argentina",0.7018,2.507,0.1097,0.1702,0.7201,"away_win","0-2",0.1126,"1-3",0.5801,0.4199,0.4222,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK01","2026-06-17","K","Portugal","DR Congo","Portugal","DR Congo",1.942,0.9093,0.592,0.2173,0.1907,"home_win","1-0",0.1184,"2-1",0.5187,0.4813,0.4613,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK02","2026-06-17","K","Uzbekistan","Colombia","Uzbekistan","Colombia",1.0727,1.6461,0.2665,0.2422,0.4913,"away_win","0-1",0.111,"1-2",0.49,0.51,0.4763,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK03","2026-06-23","K","Portugal","Uzbekistan","Portugal","Uzbekistan",1.8854,0.9367,0.5752,0.2222,0.2026,"home_win","1-0",0.1181,"2-1",0.5129,0.4871,0.4647,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK04","2026-06-23","K","Colombia","DR Congo","Colombia","DR Congo",1.6961,1.0413,0.5144,0.2372,0.2484,"home_win","1-0",0.1155,"2-1",0.4955,0.5045,0.4746,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK05","2026-06-27","K","Colombia","Portugal","Colombia","Portugal",1.1605,1.5221,0.3048,0.2486,0.4466,"away_win","0-1",0.1067,"1-2",0.4829,0.5171,0.4809,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GK06","2026-06-27","K","DR Congo","Uzbekistan","DR Congo","Uzbekistan",1.2902,1.3691,0.3599,0.2527,0.3874,"away_win","1-1",0.1058,"1-1",0.4785,0.5215,0.4839,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL01","2026-06-17","L","Ghana","Panama","Ghana","Panama",1.3006,1.3583,0.3643,0.2527,0.383,"away_win","1-1",0.1058,"1-1",0.4784,0.5216,0.484,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL02","2026-06-17","L","England","Croatia","England","Croatia",1.7044,1.0371,0.517,0.2366,0.2464,"home_win","1-0",0.1156,"2-1",0.4964,0.5036,0.4744,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL03","2026-06-23","L","England","Ghana","England","Ghana",2.3507,0.751,0.6956,0.1799,0.1245,"home_win","1-0",0.1152,"2-1",0.5666,0.4334,0.4345,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL04","2026-06-23","L","Panama","Croatia","Panama","Croatia",0.9834,1.7964,0.2272,0.2318,0.541,"away_win","0-1",0.1143,"1-2",0.5019,0.4981,0.4692,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL05","2026-06-27","L","Panama","England","Panama","England",0.768,2.2989,0.1353,0.1886,0.6761,"away_win","0-1",0.1149,"1-2",0.5554,0.4446,0.4374,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
"GL06","2026-06-27","L","Croatia","Ghana","Croatia","Ghana",1.836,0.962,0.56,0.2264,0.2136,"home_win","1-0",0.1177,"2-1",0.508,0.492,0.4675,"2026-06-17 09:39:04.278256","2026-06-16","2026-06-17","dashboard_archive"
