match_id,group,matchday,home_team,away_team,date,kickoff_local,venue_name,host_city,host_country,source
GI02,I,1,Iraq,Norway,2026-06-16,18:00,Gillette Stadium,Foxborough,United States,FourFourTwo 2026-06-05
GI03,I,2,Norway,Senegal,2026-06-22,20:00,MetLife Stadium,East Rutherford,United States,FourFourTwo 2026-06-05
GI04,I,2,France,Iraq,2026-06-22,17:00,Lincoln Financial Field,Philadelphia,United States,FourFourTwo 2026-06-05
GI05,I,3,Norway,France,2026-06-26,15:00,Gillette Stadium,Foxborough,United States,FourFourTwo 2026-06-05
GI06,I,3,Senegal,Iraq,2026-06-26,15:00,BMO Field,Toronto,Canada,FourFourTwo 2026-06-05
GJ01,J,1,Argentina,Algeria,2026-06-16,20:00,Arrowhead Stadium,Kansas City,United States,FourFourTwo 2026-06-05
GJ02,J,1,Austria,Jordan,2026-06-16,21:00,Levi's Stadium,Santa Clara,United States,FourFourTwo 2026-06-05
GJ03,J,2,Argentina,Austria,2026-06-22,12:00,AT&T Stadium,Arlington,United States,FourFourTwo 2026-06-05
GJ04,J,2,Jordan,Algeria,2026-06-22,20:00,Levi's Stadium,Santa Clara,United States,FourFourTwo 2026-06-05
GJ05,J,3,Algeria,Austria,2026-06-27,21:00,Arrowhead Stadium,Kansas City,United States,FourFourTwo 2026-06-05
GJ06,J,3,Jordan,Argentina,2026-06-27,21:00,AT&T Stadium,Arlington,United States,FourFourTwo 2026-06-05
GK01,K,1,Portugal,DR Congo,2026-06-17,12:00,NRG Stadium,Houston,United States,FourFourTwo 2026-06-05
GK02,K,1,Uzbekistan,Colombia,2026-06-17,20:00,Estadio Azteca,Mexico City,Mexico,FourFourTwo 2026-06-05
GK03,K,2,Portugal,Uzbekistan,2026-06-23,12:00,NRG Stadium,Houston,United States,FourFourTwo 2026-06-05
GK04,K,2,Colombia,DR Congo,2026-06-23,20:00,Estadio Akron,Zapopan,Mexico,FourFourTwo 2026-06-05
GK05,K,3,Colombia,Portugal,2026-06-27,19:30,Hard Rock Stadium,Miami Gardens,United States,FourFourTwo 2026-06-05
GK06,K,3,DR Congo,Uzbekistan,2026-06-27,19:30,Mercedes-Benz Stadium,Atlanta,United States,FourFourTwo 2026-06-05
GL01,L,1,Ghana,Panama,2026-06-17,19:00,BMO Field,Toronto,Canada,FourFourTwo 2026-06-05
GL02,L,1,England,Croatia,2026-06-17,15:00,AT&T Stadium,Arlington,United States,FourFourTwo 2026-06-05
GL03,L,2,England,Ghana,2026-06-23,16:00,Gillette Stadium,Foxborough,United States,FourFourTwo 2026-06-05
GL04,L,2,Panama,Croatia,2026-06-23,19:00,BMO Field,Toronto,Canada,FourFourTwo 2026-06-05
GL05,L,3,Panama,England,2026-06-27,17:00,MetLife Stadium,East Rutherford,United States,FourFourTwo 2026-06-05
GL06,L,3,Croatia,Ghana,2026-06-27,17:00,Lincoln Financial Field,Philadelphia,United States,FourFourTwo 2026-06-05
