"schema_version","bundle_id","edition_id","bundle_status","acceptance_state","fallback_status","parser_commit_sha","artifact_count","required_resource_count","source_bundle_sha256","artifact_manifest_sha256","manifest_self_sha256","accepted_at_utc","last_accepted_bundle_id","fallback_source","fallback_retrieval_date","fallback_reason","operator_note","fallback_checksum","artifact_id","artifact_type","source_url","retrieved_at_utc","bytes","raw_sha256","parser_commit_sha","fallback_status","review_state","relative_local_raw_path","row_sha256"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","537f596a83b3386816cdd39d9ac812a92c354262",5,5,"2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","b790b7d75c1d45e19066be8186e8c7f5846a74930c01acb5a946928e40a03acc","2026-08-13T20:34:05Z","uefa_euro_2028_qualifying-official-v1","","","","","","uefa_euro_2028_qualifying-official-v1-fixtures","fixtures","https://www.uefa.com/euro2028/about/","2026-08-13T20:34:05Z",2,"4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","537f596a83b3386816cdd39d9ac812a92c354262","official","not_required","data/competition/local_raw/uefa_euro_2028_qualifying/uefa_euro_2028_qualifying-official-v1/fixtures.json","a478bf641a07f0a06e197f293dc860b54d8c9dc34822311e67d8d2ffce017677"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","537f596a83b3386816cdd39d9ac812a92c354262",5,5,"2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","b790b7d75c1d45e19066be8186e8c7f5846a74930c01acb5a946928e40a03acc","2026-08-13T20:34:05Z","uefa_euro_2028_qualifying-official-v1","","","","","","uefa_euro_2028_qualifying-official-v1-groups","groups","https://www.uefa.com/euro2028/about/","2026-08-13T20:34:05Z",2,"4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","537f596a83b3386816cdd39d9ac812a92c354262","official","not_required","data/competition/local_raw/uefa_euro_2028_qualifying/uefa_euro_2028_qualifying-official-v1/groups.json","9eea9ec77b3f2d47127e469542f049a643411f59b77997711ad5adae54bfaf84"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","537f596a83b3386816cdd39d9ac812a92c354262",5,5,"2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","b790b7d75c1d45e19066be8186e8c7f5846a74930c01acb5a946928e40a03acc","2026-08-13T20:34:05Z","uefa_euro_2028_qualifying-official-v1","","","","","","uefa_euro_2028_qualifying-official-v1-standings","standings","https://www.uefa.com/euro2028/about/","2026-08-13T20:34:05Z",2,"4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","537f596a83b3386816cdd39d9ac812a92c354262","official","not_required","data/competition/local_raw/uefa_euro_2028_qualifying/uefa_euro_2028_qualifying-official-v1/standings.json","3d0a513394e4dff42cd9cdb3dca4d3368f58c2e0daa2b3c2a2ed1c3d78a639d4"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","537f596a83b3386816cdd39d9ac812a92c354262",5,5,"2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","b790b7d75c1d45e19066be8186e8c7f5846a74930c01acb5a946928e40a03acc","2026-08-13T20:34:05Z","uefa_euro_2028_qualifying-official-v1","","","","","","uefa_euro_2028_qualifying-official-v1-results","results","https://www.uefa.com/euro2028/about/","2026-08-13T20:34:05Z",2,"4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","537f596a83b3386816cdd39d9ac812a92c354262","official","not_required","data/competition/local_raw/uefa_euro_2028_qualifying/uefa_euro_2028_qualifying-official-v1/results.json","fbdb40964048fbd4354c56a928c69a301d1c9730d5566554bc4dd0c062985c24"
"phase13-source-bundle-v1","uefa_euro_2028_qualifying-official-v1","uefa_euro_2028_qualifying","accepted","accepted","official","537f596a83b3386816cdd39d9ac812a92c354262",5,5,"2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","2298293b22526a42bdfb9156e23b2768a0720e8caa3959e844a4bf446880b866","b790b7d75c1d45e19066be8186e8c7f5846a74930c01acb5a946928e40a03acc","2026-08-13T20:34:05Z","uefa_euro_2028_qualifying-official-v1","","","","","","uefa_euro_2028_qualifying-official-v1-status","status","https://www.uefa.com/euro2028/about/","2026-08-13T20:34:05Z",97,"4de5ca35467d55fe0e587ac78c3c2ad871396f4b34cd786e23c73af3781e2393","537f596a83b3386816cdd39d9ac812a92c354262","official","not_required","data/competition/local_raw/uefa_euro_2028_qualifying/uefa_euro_2028_qualifying-official-v1/status.json","21dc1137de10b3a154f66907839d05ac21a2dd04fab3fba837aabc257fcebae6"
