"edition_id","team_id","form_scope","window_type","window_size","window_span","sample_count","eligible_sample_count","result_sequence","competition_type","feature_cutoff_utc","latest_evidence_completed_at_utc","latest_evidence_date","latest_evidence_precision","contributing_match_ids","contributing_match_hashes","contributing_source_lineages","xgf","xga","xgd","xgf_ewma","xga_ewma","xgd_ewma","availability_status","availability_reason","source_id","source_scope","evidence_basis","row_sha256","canonical_row_sha256","table_sha256","canonical_table_sha256"
"uefa_nations_league_2026_27","team_deu","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","f0a1c2df76327d4759cf544f890cd977e56a79caccee6e2707f445630a40f14a","f0a1c2df76327d4759cf544f890cd977e56a79caccee6e2707f445630a40f14a","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_fro","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","a64f1cda95b7d31ce0eb11e5abb7c718ef1cd0a421dfbaba0b805be5edfaac6b","a64f1cda95b7d31ce0eb11e5abb7c718ef1cd0a421dfbaba0b805be5edfaac6b","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_ltu","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","9cf5184d41cae2d37c0d0115348c30bca761cac6cbd500dbeed0236d09b82f4c","9cf5184d41cae2d37c0d0115348c30bca761cac6cbd500dbeed0236d09b82f4c","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_gre","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","76e3e779591e909f22161d6edec66d3f812617c27b7769289e85d0df0e7352a8","76e3e779591e909f22161d6edec66d3f812617c27b7769289e85d0df0e7352a8","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_kaz","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","3da434848afa54c74b816a7bef6fbda555c5cd015456672835122b493dc14388","3da434848afa54c74b816a7bef6fbda555c5cd015456672835122b493dc14388","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_sui","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","bd419d91268000b338f717c418d37eef2f3f41a843ef93869c0ef24a959a9d1e","bd419d91268000b338f717c418d37eef2f3f41a843ef93869c0ef24a959a9d1e","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_mkd","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","ec251f96d8c94e1ae31556f89a5543b3825a4183ecb234ed51ad3b964df2571a","ec251f96d8c94e1ae31556f89a5543b3825a4183ecb234ed51ad3b964df2571a","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_isr","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","2117921e05a21127d19c43addb6c39ea59a3d4e325fb45995873ca267e848553","2117921e05a21127d19c43addb6c39ea59a3d4e325fb45995873ca267e848553","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_bih","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","1fafaf9e242023a3b2689dfb68bf58c8b4401dbc163b8d9a76470eb46b49eba6","1fafaf9e242023a3b2689dfb68bf58c8b4401dbc163b8d9a76470eb46b49eba6","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_ukr","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","60d8c700d4371a6c413fd2e767aa8248b6a72fe9b80b859c0a9d29dc1e29697b","60d8c700d4371a6c413fd2e767aa8248b6a72fe9b80b859c0a9d29dc1e29697b","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_den","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","f370f9ebe172e828f16a926c33a4d182f87d9f795ad5e538e503eb5487f44f17","f370f9ebe172e828f16a926c33a4d182f87d9f795ad5e538e503eb5487f44f17","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_wal","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","f2172e837b1e4a02fa893a9098d63b9b257fdbcd6f9c2c607cbe2ead3e5e4850","f2172e837b1e4a02fa893a9098d63b9b257fdbcd6f9c2c607cbe2ead3e5e4850","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_hun","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","f45be89e0e8cefad98edee4bf9dedea47b54890053278b95d0ad3e72424a65bf","f45be89e0e8cefad98edee4bf9dedea47b54890053278b95d0ad3e72424a65bf","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_pol","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","7c404582fc4237748489fd26906eb5b39e1060076deb40fa3ecce7a96248ac90","7c404582fc4237748489fd26906eb5b39e1060076deb40fa3ecce7a96248ac90","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_republic_of_ireland","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","d98cf1d6050e8223f4033b1fa07244fe86b1c7b56aa234df1cdcb0c8e7098203","d98cf1d6050e8223f4033b1fa07244fe86b1c7b56aa234df1cdcb0c8e7098203","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_mlt","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","31ae053d1ed4328b3bfb596a40df7f7d3a54fd6036644cb7edebaa5d65fbf626","31ae053d1ed4328b3bfb596a40df7f7d3a54fd6036644cb7edebaa5d65fbf626","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
"uefa_nations_league_2026_27","team_aze","national_team_xg","ewma",12,12,0,0,,,"2026-09-24T15:59:59Z",,,"missing",,,,,,,,,,"unavailable","no_accepted_national_team_xg_source",,"senior_mens_national_team","shot_derived","5943799770cda4667a55ce0af339553e1cc0f729bcd83b9b55e80e96e53f1f7f","5943799770cda4667a55ce0af339553e1cc0f729bcd83b9b55e80e96e53f1f7f","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296","6946c90bfb364175b505bfc2069b1a1ecd548e7f0d2f8892025739232ca9b296"
