"edition_id","projection_run_id","team_id","league","p_quarter_final","p_semi_final","p_third_place","p_final","p_champion","p_direct_promotion","p_direct_relegation","p_playoff_eligibility","p_playoff_win","p_playoff_loss","status","suppression_reason","simulation_count","simulation_seed","ruleset_version","ruleset_sha256","source_bundle_id","model_release_id","row_sha256"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_alb","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","fec8acff02acc36334862b1f9c1adfd6a2afb25a0d29ea3f615c34cc8531fdbe"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_and","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","e8aefa8d487e58af22849c7aa906544a445365b6818853e1b2dd194f76b47327"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_arm","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","880e9898ec7a3406c965eb8c3a4a530dc04469c505bac77707fbd0de2bd4cdb5"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_aut","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","6d4124122b2c830b063b386ab45957a74497c3d52cd4d0f5f9eab14cad81c5c3"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_aze","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","763c55fd07d1d86d63496167aeb24e227d63246d2f2aeecf6f00623e65a6c097"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_bel","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","d6f141183fe0e54a4124c4700f5db5391d13ccb9f791b04d337e8db879050f81"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_bih","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","e5cd87b40cb6fc0666168a3553c6f20f29a22313768a3eaca3dd1df4303792c2"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_blr","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","da5226390244c0d020acd4a06f828c90c32cbf3385a356723d393a59f98a06d0"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_bul","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","3470c4681e186ca7904dfd5992c76bb9c8923b120733b22734c14148cb77675d"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_cro","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","ee586fd78d144f5e32cfc4ddc094c8cb42ab8c58e8a38558e4df2ad3c2026136"
