"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","match_status","completion_method","home_goals","away_goals","regulation_home_goals","regulation_away_goals","final_home_goals","final_away_goals","shootout_home_goals","shootout_away_goals","winner_team_id","evidence_completed_at_utc","counts_for_standings","counts_for_form","source_artifact_id","fixture_source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047890",2047890,2014198,2014198,"team_swe","team_bih",127,60094,"Sweden","Bosnia and Herzegovina","2026-11-14T19:45:00Z",TRUE,"2026-11-14T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","98563a95ee5ba186316f9182b12b24354d71f804c29e7fabe62873675568ba0c"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047891",2047891,2014198,2014198,"team_rou","team_pol",113,109,"Romania","Poland","2026-11-14T19:45:00Z",TRUE,"2026-11-14T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","57bb53acf3a7e1f23d44c56487202b65c0186ad0269d16a4a601c931dd45cfdd"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047892",2047892,2014194,2014194,"team_por","team_den",110,35,"Portugal","Denmark","2026-11-14T19:45:00Z",TRUE,"2026-11-14T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","2dd9f90242dbb2dd9702e142c89eb25977e38507be6ba0af1601ea648b1513c5"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047893",2047893,2014194,2014194,"team_nor","team_wal",101,144,"Norway","Wales","2026-11-14T17:00:00Z",TRUE,"2026-11-14T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","03a39e9677bbd189185a23ed8594aafa49468c1e7ccef29e5567fde7c2bd9263"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047894",2047894,2014197,2014197,"team_aut","team_republic_of_ireland",8,64,"Austria","Republic of Ireland","2026-11-14T19:45:00Z",TRUE,"2026-11-14T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","df6b08dfa58f96d4d6590b4e0d5566c467bf073c4e5fc481bcd08e69eadde087"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047895",2047895,2014196,2014196,"team_geo","team_hun",57157,57,"Georgia","Hungary","2026-11-14T17:00:00Z",TRUE,"2026-11-14T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","8b5ce0f4e2bc3e195c9ad336dbec9387a4707b65da0897b30bda088616368ed3"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047896",2047896,2014197,2014197,"team_kvx","team_isr",2608110,65,"Kosovo","Israel","2026-11-14T14:00:00Z",TRUE,"2026-11-14T14:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","abead93c241455c6fb3c4f6b7b0b06d374c6504b580f76945abc306e10717bf0"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047897",2047897,2014196,2014196,"team_nir","team_ukr",63,57166,"Northern Ireland","Ukraine","2026-11-14T19:45:00Z",TRUE,"2026-11-14T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","8fd051007907c46b589c73be27b5cfdfb1afd139c8cfb97d3bafe8adfb005a63"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047898",2047898,2014191,2014191,"team_fra","team_tur",43,135,"France","Türki̇ye","2026-11-15T19:45:00Z",TRUE,"2026-11-15T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","a76363adcb35e588aca808ea67a68d63251753ba91b73d1db5b652730fc042fd"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047899",2047899,2014200,2014200,"team_lva","team_arm",56558,57419,"Latvia","Armenia","2026-11-15T14:00:00Z",TRUE,"2026-11-15T14:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","6cb22fb66af88a28ae5da3d4a7fd5e08ebcf6df0c8a592d3922c5423067c0fc0"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047900",2047900,2014191,2014191,"team_bel","team_ita",13,66,"Belgium","Italy","2026-11-15T19:45:00Z",TRUE,"2026-11-15T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","5eb743fdd5202ed3fe6222ecfd11fcab339e33d6c786fabac3eb00a2c811a8fe"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047901",2047901,2014199,2014199,"team_fin","team_smr",42,50168,"Finland","San Marino","2026-11-15T17:00:00Z",TRUE,"2026-11-15T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","2bd45a6570e0c69d794424e5e341b25ecaf7f8a3fe009fdad8af241119d3763f"
