"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047930",2047930,2014194,2014194,"team_wal","team_den",144,35,"Wales","Denmark","2026-10-04T18:45:00Z",TRUE,"2026-10-04T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","0c9086c2779d29dfef563247eacb9f1511af3517891396c3ddc984c65bd1f7c6"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047931",2047931,2014204,2014204,"team_aze","team_ltu",57154,56557,"Azerbaijan","Lithuania","2026-10-04T13:00:00Z",TRUE,"2026-10-04T13:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","d3050517595c304b8719db53ad34f63f1a3ece6f0c2d894e42cab9eaff3acddd"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047932",2047932,2014196,2014196,"team_ukr","team_hun",57166,57,"Ukraine","Hungary","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","50c506bb2cd1ae74cece84d315ed88f559d860c74b443480aed51472d47e81c2"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047933",2047933,2014198,2014198,"team_rou","team_swe",113,127,"Romania","Sweden","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","a9bdbd27f26ce3f8f75a742cf9bbd1b15a2dfbeefc8cb63eb957d7365d07be46"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047934",2047934,2014196,2014196,"team_nir","team_geo",63,57157,"Northern Ireland","Georgia","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","83ac64e55e7ddd1d9e978136d98ce1ce14b391d25fe83eaf5051234443764154"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047935",2047935,2014200,2014200,"team_mne","team_arm",92853,57419,"Montenegro","Armenia","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","1d320c1a7c13bf9c689cb8d54e8e1e8dbfd0fd152f538c56d0467c32e93ff5a2"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047936",2047936,2014200,2014200,"team_cyp","team_lva",33,56558,"Cyprus","Latvia","2026-10-05T16:00:00Z",TRUE,"2026-10-05T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","08ccad4917b5061ef162035c6845df93b20fbb3f483dcaeec582c524a10e6ce3"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047937",2047937,2014191,2014191,"team_fra","team_bel",43,13,"France","Belgium","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","b77290794600f9938055e758e09c0fb8df97ac7c502f7292b3ec2d62e2e33ca1"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047938",2047938,2014191,2014191,"team_ita","team_tur",66,135,"Italy","Türki̇ye","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","d909a7b5cc57dd5bbc5ad8dfcef8c5da2a24c9a3ea71007fb56f88ef8efc8404"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047939",2047939,2014198,2014198,"team_bih","team_pol",60094,109,"Bosnia and Herzegovina","Poland","2026-10-05T18:45:00Z",TRUE,"2026-10-05T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","426a8f452bbc9dc85cd7ebb2db469b52c9d6c46d52436321e999c8ba89b1de15"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047940",2047940,2014195,2014195,"team_sui","team_mkd",128,59205,"Switzerland","North Macedonia","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","8fa5009a30ef38da57aa4f263f03e69770d918046556c0623f523541c34045b8"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047941",2047941,2014199,2014199,"team_alb","team_smr",2,50168,"Albania","San Marino","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","754c665ac9820c3729c89d9cf5375496f6dc796da4024500f72a9540b7ceb438"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047942",2047942,2014199,2014199,"team_blr","team_fin",57155,42,"Belarus","Finland","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","ed2c2168ba469210addb543c6cd521563476b80f31aefc8c67a428cbdcea2f9e"
